sample,mean0,mean1,diff_of_means,t_first,t_second
0,311.29981,174.92514,136.37467,1.1014689,0.73547649
1,1096.9385,1182.2188,-85.280262,-0.74519384,-0.38760487
2,2101.8696,2089.7658,12.103811,0.10814432,-0.54357663
3,3170.2048,3015.9846,154.2202,0.82243023,0.24771146
4,11484.723,11778.457,-293.73428,-1.6204934,-0.38351903
5,-9713.6983,-9817.428,103.7297,0.20692904,1.6043252
6,-8312.6108,-8420.4837,107.87288,0.2469203,1.0937309
7,5417.4749,5604.4837,-187.00882,-1.3828281,0.44028537
8,3472.4469,3555.501,-83.054032,-0.44202115,0.12304111
9,-9119.702,-9260.714,141.01196,0.58447275,3.0192581
10,-8434.175,-8289.7812,-144.39386,-0.75333534,3.5134437
11,-588.27561,-770.94818,182.67257,0.94767169,1.2985027
12,7342.9572,7520.7985,-177.8413,-1.18169,1.6067771
13,1287.6276,1278.5259,9.1016488,0.02952688,0.53715603
14,-6504.4022,-6700.714,196.31178,1.020196,-0.76343429
15,9022.9274,9195.3628,-172.43539,-0.56912898,2.0976421
16,5379.8138,5387.7927,-7.9789261,-0.022876058,2.0250292
17,-3377.5791,-3371.2399,-6.3392202,-0.04418932,0.21064164
18,-2438.9125,-2418.4875,-20.424953,-0.12317745,0.58380164
19,-5401.743,-5657.0595,255.31648,1.5564279,-0.23721842
20,3747.9926,4118.1113,-370.11877,-1.9218256,2.2319557
21,2912.7747,2905.428,7.3466511,0.036467617,2.0058706
22,-3627.8585,-3792.3378,164.47934,1.3120612,0.3247244
23,-3849.0577,-3716.6679,-132.38978,-1.1249575,1.0152878
24,-2534.257,-2521.1823,-13.074642,-0.10626966,-0.93660749
25,-2089.9516,-2104.5067,14.555135,0.11659009,-2.337176
26,-1493.5717,-1582.6795,89.107768,0.54363727,-0.94987083
27,4426.8454,4571.6392,-144.79372,-1.1602011,-0.2352246
28,670.7486,589.63532,81.113287,0.51851165,0.20783846
29,-2064.6853,-2104.0154,39.330066,0.32610025,-0.68895702
30,71.985102,152.81382,-80.828717,-0.60473979,0.44980949
31,2890.8454,2738.3647,152.48075,1.1653153,-1.3973495
32,3660.7523,3907.3167,-246.56437,-1.9969486,-1.6631446
33,203.56052,44.714012,158.84651,1.0778393,0.63594469
34,-3187.3669,-3216.952,29.585162,0.25729957,0.028171274
35,-3297.4898,-3147.1785,-150.31126,-1.2806777,2.1164351
36,-1483.5605,-1639.1862,155.62566,1.3369842,2.7253444
37,-1261.4078,-1111.4626,-149.94525,-1.2434078,0.69515048
38,1246.1527,1149.2975,96.855195,0.81198455,0.31304303
39,-1000.6406,-856.4453,-144.1953,-0.96359568,2.6047021
40,-3490.0857,-3579.0864,89.000711,0.75488198,2.4866933
41,-355.63501,-436.33013,80.695125,0.64524506,1.5015111
42,-278.88268,-129.71977,-149.16291,-1.2713899,1.323574
43,-832.83426,-1053.4818,220.6475,1.8388228,0.84362493
44,-31.463687,4.4222649,-35.885952,-0.30747854,0.52294886
45,735.58287,828.43762,-92.854752,-0.809231,1.4727452
46,145.87709,48.153551,97.723544,0.82903863,1.848699
47,372.79702,372.45298,0.34404544,0.0029198377,-0.274333
48,2371.6946,2373.7735,-2.0789128,-0.018473693,0.69079278
49,1578.905,1687.3397,-108.4347,-0.91737325,0.75822656
50,63.404097,-94.833013,158.23711,1.3883548,-0.72637562
51,-1242.8156,-1137.5048,-105.31084,-0.93789612,0.71922121
52,-1754.3389,-1688.8138,-65.5251,-0.6032008,0.44161566
53,-1925.0056,-2007.2169,82.211304,0.75859097,-0.38874973
54,-1467.352,-1344.3685,-122.98343,-1.0795296,-0.6680345
55,-268.39479,-260.42226,-7.972521,-0.068477694,-1.1838213
56,-429.05028,-487.92322,58.872945,0.49569533,0.2868464
