proj,label
-120.69193,0
-150.22818,1
-146.17027,1
-151.59164,1
-157.12781,1
-115.1982,0
-120.82787,0
-155.5294,1
-123.68784,0
-122.40771,0
-120.30075,0
-157.45029,1
-153.0632,1
-128.44279,0
-153.05688,1
-148.01294,1
-147.97446,1
-158.74911,1
-123.69255,0
-124.26974,0
-124.42574,0
-115.19342,0
-146.5538,1
-152.91385,1
-125.00465,0
-120.5531,0
-126.21637,0
-154.67599,1
-121.03203,0
-119.2318,0
-119.9094,0
-130.07272,0
-147.88829,1
-144.28708,1
-122.88039,0
-145.23473,1
-141.71356,1
-161.18419,1
-155.8739,1
-127.97784,0
-124.83952,0
-161.85005,1
-151.04086,1
-120.70329,0
-156.56206,1
-150.35081,1
-149.90894,1
-123.68005,0
-154.01331,1
-118.16817,0
-153.91171,1
-149.73372,1
-153.66846,1
-150.53014,1
-150.97731,1
-128.33798,0
-155.82655,1
-150.29535,1
-122.44007,0
-145.31938,1
-155.50165,1
-123.9614,0
-143.03549,1
-154.17551,1
-147.50012,1
-146.18169,1
-124.55354,0
-148.35303,1
-149.38031,1
-136.43253,0
-160.78897,1
-131.3271,0
-144.9704,1
-118.95268,0
-142.55759,1
-121.84352,0
-152.65982,1
-145.4637,1
-157.70918,1
-155.19316,1
-156.18646,1
-151.79266,1
-151.5779,1
-152.77898,1
-120.57118,0
-122.22043,0
-152.16937,1
-157.28549,1
-150.51312,1
-152.45053,1
-122.0264,0
-116.22515,0
-125.86549,0
-155.36478,1
-151.07814,1
-145.96985,1
-122.03421,0
-126.51102,0
-122.17919,0
-121.36794,0
-122.11053,0
-141.74982,1
-146.42413,1
-122.40461,0
-160.21255,1
-118.68251,0
-148.41005,1
-119.6795,0
-154.67072,1
-145.27704,1
-118.58579,0
-116.82181,0
-140.89481,1
-123.91628,0
-121.13348,0
-115.71629,0
-148.40175,1
-115.14209,0
-110.09585,0
-129.78896,0
-118.15607,0
-151.54271,1
-120.73171,0
-127.70051,0
-132.84137,0
-125.06539,0
-125.72479,0
-121.02262,0
-124.46371,0
-155.58302,1
-119.05341,0
-129.33145,0
-154.55779,1
-121.76048,0
-125.12445,0
-153.15994,1
-154.3199,1
-155.98782,1
-122.98006,0
-154.50357,1
-152.61255,1
-120.17924,0
-162.51416,1
-151.20724,1
-119.25346,0
-119.48418,0
-125.45233,0
-116.07858,0
-124.6551,0
-128.09583,0
-128.36006,0
-118.97667,0
-155.70227,1
-149.14627,1
-120.31544,0
-122.47194,0
-123.82059,0
-121.83774,0
-150.99356,1
-155.93365,1
-144.97542,1
-129.7381,0
-154.69704,1
-148.48424,1
-122.05688,0
-151.2036,1
-142.79773,1
-117.67337,0
-120.98348,0
-154.90088,1
-146.05119,1
-144.4976,1
-125.7425,0
-125.86655,0
-120.68598,0
-153.1265,1
-148.85492,1
-121.79358,0
-152.30763,1
-144.94069,1
-145.61983,1
-117.04608,0
-122.31126,0
-124.44247,0
-120.56262,0
-130.39145,0
-146.44713,1
-149.47983,1
-145.28822,1
-117.54863,0
-159.03091,1
-122.97373,0
-130.01381,0
-141.59605,1
-147.49825,1
-121.11438,0
-126.28486,0
-126.59174,0
-142.64867,1
-118.23401,0
-115.69335,0
-153.12386,1
-151.68709,1
-124.98698,0
-152.8288,1
-147.19061,1
-152.86644,1
-149.09961,1
-120.24831,0
-149.74535,1
-119.4545,0
-121.0843,0
-151.46056,1
-152.53278,1
-149.88159,1
-119.95128,0
-134.04865,0
-129.45644,0
-157.04005,1
-147.19089,1
-129.8826,0
-158.47525,1
-147.87057,1
-149.26299,1
-124.23991,0
-150.09656,1
-143.01118,1
-149.71466,1
-124.6803,0
-116.66631,0
-153.60657,1
-129.34819,0
-126.51122,0
-126.4318,0
-116.58327,0
-122.05265,0
-156.71042,1
-147.48857,1
-153.73628,1
-144.24809,1
-151.52716,1
-128.36658,0
-124.4622,0
-124.60478,0
-149.50035,1
-147.33827,1
-119.34605,0
-151.01112,1
-122.78421,0
-124.35149,0
-155.05351,1
-120.95273,0
-145.53964,1
-149.18317,1
-157.55902,1
-155.87865,1
-124.36711,0
-127.35104,0
-154.8978,1
-116.89748,0
-127.52793,0
-123.14296,0
-146.72572,1
-152.61823,1
-152.0265,1
-146.83096,1
-125.60565,0
-114.43416,0
-155.65501,1
-122.7224,0
-126.81171,0
-125.23853,0
-125.52734,0
-152.27673,1
-116.71613,0
-119.9388,0
-146.75206,1
-115.92775,0
-121.71362,0
-120.91375,0
-156.90886,1
-149.23274,1
-119.63761,0
-150.39462,1
-122.33453,0
-151.29538,1
-145.49355,1
-151.83066,1
-118.44384,0
-153.65788,1
-122.90799,0
-151.97701,1
-153.59772,1
-150.61893,1
-116.56271,0
-127.4119,0
-145.77495,1
-143.02919,1
-150.37506,1
-141.14427,1
-145.06143,1
-144.05618,1
-125.52602,0
-145.12634,1
-125.22736,0
-127.53432,0
-126.34972,0
-148.39261,1
-145.27919,1
-114.64714,0
-128.88747,0
-157.30032,1
-112.93082,0
-146.5251,1
-152.2243,1
-153.60455,1
-145.80484,1
-146.84882,1
-152.53915,1
-151.99643,1
-151.15868,1
-151.65639,1
-145.85132,1
-144.44745,1
-149.98537,1
-125.814,0
-120.33821,0
-156.21646,1
-145.75305,1
-152.9903,1
-117.83991,0
-124.65082,0
-134.55055,0
-125.14693,0
-126.36015,0
-148.15979,1
-148.29057,1
-155.95558,1
-150.98178,1
-124.02205,0
-122.73071,0
-129.29848,0
-147.43269,1
-117.13754,0
-149.48497,1
-117.38345,0
-151.8618,1
-124.41545,0
-125.82462,0
-117.144,0
-122.08263,0
-153.40628,1
-154.25304,1
-154.52089,1
-155.07616,1
-117.06606,0
-126.1096,0
-155.12639,1
-125.2077,0
-118.46005,0
-150.94221,1
-155.02974,1
-150.78673,1
-123.30331,0
-121.43214,0
-119.97043,0
-134.38742,0
-118.46204,0
-126.23376,0
-152.23093,1
-155.18199,1
-151.29814,1
-126.53577,0
-145.6951,1
-150.98801,1
-150.42395,1
-111.89165,0
-150.45325,1
-119.08469,0
-124.23447,0
-146.47192,1
-120.34381,0
-120.91083,0
-149.3873,1
-120.82837,0
-153.70996,1
-151.90761,1
-118.5851,0
-121.91982,0
-118.32201,0
-148.91956,1
-116.81149,0
-157.6683,1
-154.26634,1
-156.5627,1
-141.94527,1
-124.86637,0
-150.07504,1
-153.73933,1
-145.98889,1
-145.97769,1
-132.65402,0
-147.28931,1
-121.27266,0
-148.95274,1
-120.27808,0
-121.19958,0
-120.51611,0
-117.60287,0
-157.7112,1
-127.42912,0
-147.56381,1
-145.06877,1
-116.51121,0
-150.16739,1
-118.78563,0
-120.09606,0
-148.71996,1
-151.8147,1
