sample,mean0,mean1,diff_of_means,t_first,t_second
0,-398.57873,-374.18156,-24.39717,-0.91808781,1.0049674
1,1118.7045,1121.1292,-2.4247184,-0.09218371,1.1985471
2,1331.694,1331.5758,0.1182702,0.0045621554,-0.30684116
3,1081.169,1081.0319,0.13713537,0.0052125082,0.43137573
4,2070.9695,2076.4902,-5.5207362,-0.20920671,-1.3068956
5,1942.6002,1952.6724,-10.072145,-0.37463247,-1.4299105
6,1078.266,1086.9512,-8.6852513,-0.32938169,-0.48049017
7,5132.5543,5142.6223,-10.068036,-0.2538638,-3.1001088
8,12300.3,12304.265,-3.9657946,-0.11374043,-0.76265557
9,10640.259,10610.759,29.500804,0.62451483,-2.817566
10,-3813.7201,-3863.137,49.416943,0.64076016,-1.4533292
11,-16949.451,-16957.175,7.7243207,0.20045215,-0.51744653
12,-13950.663,-13890.529,-60.134484,-1.158096,-1.822873
13,-2207.5639,-2180.9543,-26.609654,-0.51088579,-0.81987228
14,5026.2632,4992.6305,33.632663,1.0998985,-0.93777027
15,6291.4935,6262.2588,29.234713,1.112904,1.4595076
16,5006.0185,5019.8854,-13.866891,-0.5009645,-0.37502712
17,1174.04,1172.3446,1.6953615,0.046767631,-0.41661489
18,-6467.4314,-6485.3934,17.961971,0.4153514,-0.59935786
19,-11836.047,-11842.091,6.0445295,0.21174019,-0.44070105
20,-10338.499,-10336.46,-2.0387184,-0.064488459,-1.2530511
21,-6338.5783,-6325.3387,-13.23964,-0.42886299,-0.35224859
22,-2938.1812,-2897.1984,-40.982888,-1.3404187,-1.2050534
23,1650.8728,1695.7201,-44.847342,-1.3008229,1.3008043
24,6921.3711,6910.2757,11.095472,0.34692808,-0.30813674
25,8880.3454,8839.322,41.023363,1.5134321,0.99585024
26,4877.2164,4886.1076,-8.8912168,-0.23153987,-1.1583843
27,-3168.4616,-3126.2266,-42.234953,-0.98309383,-0.75181238
28,-8359.9928,-8329.0721,-30.920756,-1.1080047,-0.055653624
29,-4671.8154,-4668.4805,-3.3348316,-0.076258301,-1.4025708
30,5592.4019,5594.1418,-1.7398812,-0.033208667,-0.62004244
31,13012.913,13036.415,-23.501437,-0.78008678,-1.0574626
32,9946.6683,9996.0704,-49.402115,-1.1398782,-0.93929604
33,645.7933,677.97406,-32.180767,-0.71729418,-0.29565882
34,-4437.2569,-4472.3949,35.137955,1.2862343,-0.75946039
35,-2687.3252,-2736.7061,49.380966,1.6708187,-1.3713617
36,-1261.6906,-1260.0543,-1.6363519,-0.061045909,0.037239617
37,-4168.1934,-4148.7339,-19.459485,-0.61438986,-2.0386568
38,-6658.6993,-6651.0071,-7.6921559,-0.28594738,1.0089778
39,-3704.6024,-3693.6113,-10.991067,-0.30841823,-0.78995431
40,2547.9805,2557.2977,-9.3171744,-0.25825671,-0.33934895
41,6063.556,6036.1902,27.365745,1.0190697,-2.5402684
42,4345.4046,4312.6233,32.781252,1.0584823,1.1206151
43,-239.47319,-230.98422,-8.4889757,-0.26259617,-2.1093336
44,-3588.4055,-3567.3485,-21.056904,-0.76021518,-0.48473287
45,-3917.2864,-3927.0148,9.7283962,0.35850256,-1.4729428
46,-3148.9553,-3174.3537,25.398338,0.95019898,-1.2122017
47,-3218.424,-3236.3784,17.954453,0.66866576,-1.1400829
48,-3120.8419,-3116.7041,-4.1378058,-0.15373243,0.49398597
