sample,mean0_minus_mean1
438,-165.804
439,-277.173
440,-85.6353
441,-239.594
442,-244.333
443,-79.5049
444,-236.381
445,-166.936
446,-174.207
447,-203.31
448,-169.08
449,-207.696
450,-178.615
451,-377.322
452,-123.776
453,-287.485
454,-221.994
455,-176.575
456,-216.683
457,-110.865
458,-205.348
459,-71.4607
460,-203.012
461,-198.064
462,-165.365
463,-225.912
464,-63.2504
465,-216.386
466,-167.501
467,-130.998
468,-124.916
469,-142.502
470,-160.057
471,-94.2343
472,-130.957
473,-25.9225
474,-52.376
475,-71.015
476,-130.864
477,-86.674
478,-173.066
479,-43.8582
480,-287.889
481,-88.938
482,-197.458
483,-147.932
484,-119.682
485,-173.391
486,-127.266
487,-165.509
488,-81.4119
489,-142.437
490,-142.187
491,-97.5637
492,-213.347
493,-81.49
494,-147.449
495,-258.769
496,-36.2646
497,-316.266
498,-50.166
499,-223.679
500,-98.2344
501,-264.819
502,-501.581
503,-606.55
504,-1033.04
505,-1102.11
506,-1222.77
507,-1157.56
508,-997.559
509,-1143.16
510,-1229.9
511,-1146.26
512,-1381.63
513,-1225.99
514,-1384.93
515,-1093.73
516,-1206.56
517,-1101.98
518,-790.695
519,-985.39
520,-654.64
521,-586.509
522,-671.703
523,-335.096
524,-469.096
525,-224.04
526,-308.079
527,-160.21
528,-29.6241
529,-142.22
530,48.6122
531,-42.2301
532,47.0592
533,94.2376
534,-56.1697
535,118.043
536,-5.39392
537,-85.1537
538,87.527
539,-167.883
540,-51.4487
541,-245.038
542,-245.078
543,-159.365
544,-435.332
545,-227.536
546,-426.157
547,-372.891
548,-361.995
549,-551.771
550,-352.378
551,-696.305
552,-481.131
553,-566.531
554,-676.481
555,-524.827
556,-641.21
557,-517.753
558,-640.403
559,-509.826
560,-511.609
561,-602.785
562,-480.802
563,-518.298
564,-534.405
565,-434.911
566,-623.843
567,-528.408
568,-528.089
569,-620.982
570,-583.746
571,-581.235
572,-588.812
573,-589.131
574,-511.196
575,-476.094
576,-669.544
577,-369.51
578,-606.389
579,-477.163
580,-548.841
581,-521.487
582,-486.451
583,-549.847
584,-471.865
585,-512.016
586,-484.243
587,-421.893
588,-476.704
589,-335.715
590,-366.173
591,-370.193
592,-270.019
593,-300.211
594,-314.835
595,-292.855
596,-248.847
597,-360.473
598,-278.943
599,-347.759
600,-288.328
601,-373.704
602,-277.292
603,-324.594
604,-288.138
605,-403.024
606,-248.329
