sample,mean_class0,mean_class1
30634,-2044.88,-2011.12
30635,-1957.52,-1842.87
30636,-1716.79,-1669.96
30637,-1664.25,-1642.75
30638,-1936.27,-1892.79
30639,-1736.94,-1648.54
30640,-2025.15,-2076.33
30641,-2045.55,-1973.72
30642,-1993.87,-1902.9
30643,-1976.41,-1945.65
30644,-2301.47,-2237.15
30645,-2101.8,-1902.04
30646,-2237.55,-2219.96
30647,-2427.19,-2365.41
30648,-2446.17,-2311
30649,-2223.98,-2185.41
30650,-2056.43,-1991.77
30651,-2159.14,-2170.65
30652,-2326.43,-2210.38
30653,-2236.8,-2324.21
30654,-2432.51,-2309.1
30655,-2211.25,-2209.77
30656,-2328.12,-2315.49
30657,-2244.38,-2110.36
30658,-2408.81,-2441.33
30659,-2384.27,-2224.28
30660,-2359.99,-2239.4
30661,-2295.31,-2247.43
30662,-2298.69,-2148.88
30663,-2379.05,-2312.55
30664,-2145.9,-2053.44
30665,-2157.03,-2191.37
30666,-2178.53,-2114.42
30667,-2048.84,-2045.67
30668,-2094.8,-2043.77
30669,-1965.79,-1940.04
30670,-2097.92,-2039.79
30671,-2027.51,-1956.53
30672,-2033.75,-1970.53
30673,-2175.33,-2079.27
30674,-2083.92,-1963.1
30675,-2048.51,-1986.33
30676,-2138.56,-2060.35
30677,-2086.7,-1900.48
30678,-2083.84,-2130.14
30679,-2038.13,-1920.78
30680,-2061.66,-2072.01
30681,-2037.54,-2006.02
30682,-2081.31,-2089.98
30683,-2254.67,-2233
30684,-2123.21,-2049.12
30685,-1701.78,-1683.78
30686,-2408.22,-2317.21
30687,-1107.82,-994.634
30688,-2015.79,-1961.63
30689,-2254.67,-2064.67
30690,-2786.4,-2840.7
30691,-738.993,-569.35
30692,135.083,210.138
30693,-1447.88,-1369.05
30694,-2412.52,-2397.28
30695,-1875.98,-1799.6
30696,-1551.35,-1457.06
30697,-976.19,-1095.43
30698,-1360.44,-1174.28
30699,-1293.41,-1337.78
30700,-1863.5,-1846.84
30701,-2055.59,-1976.31
30702,-1602.45,-1521.66
30703,-1652.11,-1615.2
30704,-1762.4,-1606.74
30705,-1875.9,-1843.22
30706,-2274.07,-2172.63
30707,-1857.86,-1798.91
30708,-2053.14,-1991.6
30709,-2081.14,-2067.52
30710,-1984.25,-1880.1
30711,-1794.7,-1759.44
30712,-2055.34,-2052.75
30713,-2278.79,-2142.83
30714,-2229.12,-2198.54
30715,-2081.81,-2101.55
30716,-2081.22,-1947.21
30717,-1993.02,-1990.91
30718,-2222.29,-2074.34
30719,-2120.77,-2078.75
30720,-2335.45,-2191.37
30721,-2085.78,-1982.62
30722,-1937.62,-1944.01
30723,-2058.88,-1882.86
30724,-2012.33,-2053.79
30725,-2055.84,-1980.98
30726,-1923.96,-1949.8
30727,-1958.62,-1874.66
30728,-1881.89,-1834.67
30729,-1874.04,-1826.72
30730,-1898.33,-1853.24
30731,-1896.31,-1802.97
30732,-1876.91,-1849.44
30733,-1911.4,-1789.75
30734,-1764.93,-1687.41
30735,-1939.39,-1809.01
30736,-1757.01,-1684.9
30737,-1838.21,-1743.29
30738,-1853.89,-1748.47
30739,-1659.03,-1639.64
30740,-1835.34,-1767.56
30741,-1720.5,-1722.3
30742,-1756.67,-1772.39
30743,-1734.41,-1595.42
30744,-1850.43,-1899.53
30745,-1707.51,-1567.7
30746,-1562.39,-1509.57
30747,-2171.95,-2204.93
30748,-1405.3,-1182.83
30749,-1730.28,-1738.36
30750,-790.767,-673.08
30751,-462.166,-469.074
30752,-812.184,-555.876
30753,-3564.44,-3634.18
30754,-1785.42,-1671
30755,-1815.19,-1737.85
30756,-669.513,-750.553
30757,-1621.42,-1526.67
30758,-1109.75,-1073.32
30759,-1596.21,-1597.93
30760,-1537.01,-1454.47
30761,-1223.67,-1176.44
30762,-1357.91,-1268.6
30763,-1495.95,-1396.69
30764,-1407.24,-1250.12
30765,-1680.53,-1672.12
30766,-1610.71,-1506.81
30767,-1670.49,-1548.78
30768,-1467.03,-1422.25
30769,-1858.61,-1844.69
30770,-1660.46,-1518.12
30771,-1681.37,-1778.35
30772,-2049.35,-2013.62
30773,-1861.65,-1803.4
30774,-1811.14,-1805.47
30775,-1612.65,-1564.85
30776,-1695.11,-1669.96
30777,-2004.49,-1853.58
30778,-1780.03,-1769.03
30779,-2108.54,-1909.55
30780,-1816.79,-1803.83
30781,-1959.13,-1863.86
30782,-1870.25,-1767.56
30783,-1903.22,-1924.92
30784,-1952.72,-1838.04
30785,-1881.72,-1837.17
30786,-1786.1,-1794.94
30787,-1894.37,-1782.24
30788,-1804.99,-1799.69
30789,-1747.14,-1675.31
30790,-1691.99,-1720.14
