n_poi,acc_mean,acc_std
1,0.6988,0.0202
2,0.7480,0.0224
5,0.8624,0.0631
10,0.9447,0.0308
20,0.9400,0.0482
40,0.9427,0.0510
80,0.9379,0.0623
160,0.9294,0.0366
320,0.8987,0.0499
640,0.8399,0.0768
1280,0.8230,0.0819
