time_us,abs_welch_t
0.000000000000000000e+00,1.199974669047692455e+00
8.000000000000000383e-04,8.757138726395424788e-01
1.600000000000000077e-03,1.763153675052912206e+00
2.399999999999999790e-03,2.961453527977708777e-01
3.200000000000000153e-03,3.816591052067602741e-01
4.000000000000000083e-03,1.015351811605708532e+00
4.799999999999999580e-03,8.735345547117231435e-01
5.599999999999999943e-03,8.850706976041312624e-01
6.400000000000000307e-03,6.208449003878362821e-02
7.199999999999999803e-03,2.514253392787650920e+00
8.000000000000000167e-03,2.296401672718795250e+00
8.799999999999998795e-03,1.067631621860525515e+00
9.599999999999999159e-03,1.237600414434072010e-01
1.040000000000000126e-02,4.464290913403319849e-01
1.119999999999999989e-02,1.324800067875795850e+00
1.200000000000000025e-02,2.026837178385582749e+00
1.280000000000000061e-02,1.129363724095814536e+00
1.359999999999999924e-02,3.761838574001806768e-01
1.439999999999999961e-02,1.397559071141332154e+00
1.519999999999999997e-02,9.925330383552468660e-01
1.600000000000000033e-02,1.047171475013880526e+00
1.680000000000000243e-02,9.517215429847077912e-01
1.759999999999999759e-02,1.047425420782816419e+00
1.839999999999999969e-02,1.573408738285166031e+00
1.919999999999999832e-02,1.412627829166453131e+00
2.000000000000000042e-02,1.126221747297217801e+00
2.080000000000000251e-02,4.284562330175185896e-02
2.160000000000000114e-02,1.889564313640866411e+00
2.239999999999999977e-02,1.923614780520651379e+00
2.319999999999999840e-02,6.971486778521970296e-01
2.400000000000000050e-02,1.818070890602526690e+00
2.479999999999999913e-02,3.041597873622947090e-01
2.560000000000000123e-02,7.693579249650270291e-02
2.639999999999999986e-02,1.101539875779349753e+00
2.719999999999999848e-02,7.517862833124124844e-01
2.800000000000000058e-02,1.614423928238161166e+00
2.879999999999999921e-02,1.552995064598980290e+00
2.960000000000000131e-02,8.655560337081139588e-01
3.039999999999999994e-02,1.843190894732429364e+00
3.120000000000000204e-02,2.734747170872000588e+00
3.200000000000000067e-02,1.936727780406477750e+00
3.280000000000000276e-02,9.862846510632724550e-01
3.360000000000000486e-02,5.812369709622250413e-01
3.440000000000000002e-02,7.520406881547508915e-01
3.519999999999999518e-02,1.237567392886122830e+00
3.599999999999999728e-02,1.119794636124721299e+00
3.679999999999999938e-02,9.237003650565464019e-01
3.760000000000000148e-02,1.421209924673978720e-01
3.839999999999999664e-02,3.169021727686837653e-01
3.919999999999999873e-02,3.814556707106027122e-01
4.000000000000000083e-02,2.997771410670836412e-01
4.080000000000000293e-02,1.417214563752264844e+00
4.160000000000000503e-02,2.322493733640591085e+00
4.240000000000000019e-02,2.060645152976340988e+00
4.320000000000000229e-02,1.599437067661637346e-01
4.399999999999999745e-02,1.859295681386377463e+00
4.479999999999999954e-02,1.163497144565464714e+00
4.559999999999999470e-02,2.887862345486343907e-01
4.639999999999999680e-02,9.956049900660932650e-01
4.719999999999999890e-02,9.420151413258868178e-01
4.800000000000000100e-02,4.213768941660735456e-01
4.880000000000000310e-02,1.149484999432731497e-01
4.959999999999999826e-02,1.062476185329582767e+00
5.040000000000000036e-02,6.006455481305319477e-01
5.120000000000000245e-02,9.752300763482033563e-01
5.200000000000000455e-02,6.329668691166854266e-01
5.279999999999999971e-02,8.847949510915900095e-01
