n_train,acc_mean,acc_std
5,0.5383,0.0234
10,0.5233,0.0203
15,0.5503,0.0291
20,0.5731,0.0330
30,0.6306,0.0606
40,0.6467,0.0513
60,0.7607,0.0676
80,0.7788,0.0863
120,0.8229,0.0606
160,0.8943,0.0507
240,0.9071,0.0414
320,0.9416,0.0377
480,0.9513,0.0396
640,0.9749,0.0258
800,0.9796,0.0251
1000,0.9858,0.0135
1200,0.9947,0.0082
1600,0.9981,0.0026
