sample,mean0,mean1,diff_of_means,t_first,t_second
0,-335.51673,-341.03216,5.5154222,0.13583749,-0.3372605
1,1150.9551,1132.7247,18.230396,0.45668097,1.0904308
2,1287.8367,1304.5961,-16.759344,-0.433424,0.76242619
3,1031.9412,1084.5365,-52.595246,-1.3513252,-0.21260854
4,2033.1624,2020.091,13.071469,0.32918043,-0.0210473
5,1836.8261,1808.2635,28.562593,0.69160345,-0.35293397
6,1031.6278,1033.0353,-1.407539,-0.034264518,-0.71298006
7,5215.0857,5181.44,33.645714,0.47499094,0.2495198
8,12377.234,12301.051,76.183305,1.2943366,-1.2207657
9,10585.652,10633.738,-48.085794,-0.54912827,0.57856897
10,-3867.0629,-3705.8761,-161.18678,-1.0804224,-1.2039585
11,-16969.979,-16887.065,-82.913677,-1.2009565,-1.7194336
12,-14154.397,-14238.318,83.921697,0.89101179,0.21410979
13,-2572.7478,-2659.4886,86.740872,0.87643309,-1.3175158
14,5002.5535,4979.451,23.102489,0.43298094,-1.2596325
15,6873.1298,6861.2016,11.928227,0.29266108,-0.35393255
16,5884.0294,5894.9271,-10.897671,-0.25437618,-0.059208067
17,1962.4229,2006.8392,-44.416359,-0.67229506,-0.10025985
18,-5971.3829,-5925.5467,-45.83619,-0.55637179,2.4501286
19,-12164.389,-12140.725,-23.663866,-0.49981041,0.31410231
20,-11830.753,-11848.885,18.132053,0.37558701,1.176029
21,-7889.3976,-7929.3741,39.976567,0.73309756,1.3070766
22,-2733.7665,-2768.0125,34.246018,0.55321487,-1.8130257
23,3546.9061,3546.0518,0.85435774,0.01280394,-1.9017914
24,8481.0188,8475.1059,5.9128932,0.12650129,-0.97557517
25,8394.2922,8382.3435,11.948715,0.24807487,0.039449843
26,2958.1061,2974.3184,-16.212309,-0.22413278,-0.80374329
27,-4698.5927,-4688.2133,-10.37932,-0.14837494,-0.62810405
28,-8518.7396,-8556.022,37.282369,0.90904947,0.33379087
29,-3987.1216,-4030.2431,43.121505,0.52970669,-0.20770916
30,6106.9061,6109.9671,-3.0609364,-0.032665186,-0.57641044
31,13014.622,13023.272,-8.650116,-0.18621317,-0.40733211
