proj,label
-330.25406,1
-277.81702,0
-336.979,1
-286.4263,0
-279.46829,0
-289.68683,0
-346.57257,1
-332.8945,1
-283.10248,0
-347.78287,1
-342.21564,1
-341.50055,1
-335.13123,1
-282.46957,0
-281.64352,0
-335.07352,1
-291.0029,0
-340.97949,1
-275.75055,0
-284.26263,0
-279.52161,0
-288.93613,0
-287.47339,0
-289.31241,0
-280.90674,0
-346.94394,1
-340.3244,1
-286.22354,0
-329.18991,1
-338.48483,1
-340.07822,1
-333.37106,1
-322.72345,1
-279.03934,0
-285.35342,0
-340.7424,1
-287.45932,0
-277.5867,0
-277.60928,0
-274.83133,0
-330.12988,1
-331.48944,1
-281.18362,0
-332.00339,1
-347.52319,1
-339.60968,1
-336.64047,1
-338.64801,1
-278.62457,0
-279.07315,0
-334.62625,1
-334.85968,1
-325.98517,1
-284.36243,0
-282.71143,0
-336.79691,1
-334.05203,1
-274.74182,0
-330.9408,1
-340.25092,1
-280.40836,0
-345.0379,1
-274.86066,0
-281.04926,0
-285.03604,0
-340.39365,1
-280.3313,0
-337.07971,1
-276.55991,0
-331.43976,1
-288.83313,0
-344.84781,1
-335.2843,1
-281.24985,0
-335.02481,1
-340.95209,1
-326.51379,1
-293.61969,0
-280.57516,0
-292.78546,0
-326.89749,1
-281.07532,0
-283.55316,0
-328.78638,1
-341.10205,1
-278.76749,0
-281.28549,0
-280.7948,0
-348.16333,1
-337.83615,1
-280.08109,0
-327.35837,1
-276.89328,0
-283.3912,0
-327.70654,1
-337.80795,1
-282.36282,0
-331.08502,1
-283.54855,0
-333.51569,1
-333.71936,1
-340.24756,1
-284.26419,0
-278.0975,0
-287.87775,0
-276.20587,0
-339.70111,1
-286.00845,0
-329.28653,1
-281.0303,0
-280.24829,0
-277.78293,0
-332.06506,1
-338.57858,1
-343.35052,1
-341.1731,1
-318.34586,1
-342.3385,1
-329.3385,1
-337.02316,1
-331.69437,1
-276.34192,0
-342.1496,1
-290.63535,0
-335.99872,1
-284.96393,0
-290.72079,0
-291.27499,0
-329.93329,1
-285.78394,0
-338.66129,1
-284.89114,0
-278.34055,0
-336.6521,1
-285.12079,0
-279.65457,0
-283.82962,0
-333.23639,1
-287.23456,0
-336.86224,1
-298.39069,0
-281.67065,0
-324.73611,1
-330.79105,1
-272.57364,0
-284.25604,0
-335.5517,1
-338.20822,1
-279.93332,0
-333.47974,1
-331.974,1
-332.93103,1
-335.74866,1
-275.97272,0
-280.7254,0
-288.80893,0
-283.32056,0
-334.78195,1
-330.29025,1
-282.58749,0
-277.3685,0
-337.46936,1
-331.73053,1
-274.86478,0
-329.68008,1
-283.24725,0
-339.68289,1
-333.21594,1
-273.04584,0
-333.77835,1
-327.26624,1
-286.83871,0
-338.69977,1
-335.0499,1
-286.93341,0
-335.93631,1
-278.80838,0
-335.54688,1
-282.65845,0
-344.11557,1
-329.85806,1
-333.03522,1
-342.54971,1
-335.22476,1
-282.23639,0
-335.25977,1
-284.74072,0
-331.35126,1
-281.00635,0
-331.75919,1
-333.19415,1
-276.15045,0
-335.34052,1
-336.85226,1
-287.65143,0
-279.17676,0
-276.14764,0
-343.91919,1
-341.96368,1
-277.68518,0
-285.05258,0
-275.33591,0
-282.97833,0
-290.53247,0
-330.07605,1
-327.89001,1
-342.00867,1
-333.08472,1
-332.30304,1
-287.56461,0
-295.55444,0
-281.49585,0
-279.70435,0
-278.8786,0
-335.7598,1
-293.60004,0
-340.76273,1
-329.72458,1
-339.14355,1
-282.78424,0
-284.25986,0
-347.4856,1
-285.97552,0
-282.09708,0
-329.54282,1
-342.6442,1
-337.19019,1
-336.08972,1
-277.41888,0
-286.271,0
-287.54309,0
-335.34491,1
-294.90665,0
-275.81302,0
-336.33698,1
-274.45331,0
-328.47174,1
-339.76883,1
-322.8576,1
-337.84772,1
-269.73914,0
-280.03186,0
-323.7937,1
-331.70447,1
-293.46332,0
-339.49585,1
-286.85672,0
-332.19354,1
-330.91669,1
-292.33838,0
-329.55038,1
-337.1326,1
-283.54453,0
-339.39764,1
-333.42764,1
-346.15894,1
-278.38306,0
-278.40579,0
-336.68307,1
-344.27789,1
-284.18912,0
-277.49301,0
-343.54251,1
-277.12201,0
-336.53964,1
-283.1611,0
-275.13376,0
-329.46951,1
-281.57016,0
-286.7612,0
-346.13428,1
-327.24326,1
-283.70871,0
-339.74167,1
-329.91675,1
-288.50967,0
-334.63998,1
-289.10846,0
-336.66412,1
-286.81674,0
-299.91431,0
-280.33862,0
-329.64734,1
-336.19153,1
-336.5722,1
-278.39838,0
-274.57431,0
-293.23148,0
-283.2384,0
-276.80585,0
-329.06375,1
-280.98984,0
-336.80511,1
-283.58398,0
-333.82254,1
-286.05933,0
-340.33456,1
-288.12677,0
-342.19894,1
-278.38913,0
-331.36813,1
-291.87158,0
-282.10245,0
-279.974,0
-283.19135,0
-336.63391,1
-285.26215,0
-340.91718,1
-347.44882,1
-333.76849,1
-336.66745,1
-335.3504,1
-331.80096,1
-280.58594,0
-286.31158,0
-279.44327,0
-277.54398,0
-338.07068,1
-329.11972,1
-331.69205,1
-283.28552,0
-277.92969,0
-347.87085,1
-333.81198,1
-333.97205,1
-337.44318,1
-290.43906,0
-281.37479,0
-343.15988,1
-283.95584,0
-323.91788,1
-338.40634,1
-344.01395,1
-282.87936,0
-289.60919,0
-347.24603,1
-279.89493,0
-277.46661,0
-290.94376,0
-291.30667,0
-277.33032,0
-296.75366,0
-345.24271,1
-283.83057,0
-339.14227,1
-337.38876,1
-270.06284,0
-280.55557,0
-333.95312,1
-282.84052,0
-342.21405,1
-341.71606,1
-291.56418,0
-339.64865,1
-276.93124,0
-281.59991,0
-342.23218,1
-276.12125,0
-291.76694,0
-277.44406,0
-339.74741,1
-282.38379,0
-336.63763,1
-330.62527,1
-278.67914,0
-340.73203,1
-339.1633,1
-338.25113,1
-281.65884,0
-335.33258,1
-280.14304,0
-344.04245,1
-286.56036,0
-325.67026,1
-285.46613,0
-328.22415,1
-284.48398,0
-282.66266,0
-326.42664,1
-288.1077,0
-325.61719,1
-289.20468,0
-290.07626,0
-282.40491,0
-340.0697,1
-281.11942,0
-284.76489,0
-338.70255,1
-347.19296,1
-333.66425,1
-282.67673,0
-337.22894,1
-337.21036,1
-338.77347,1
-338.43997,1
-325.97089,1
-342.55145,1
-336.77026,1
-330.07123,1
-275.49768,0
-330.38379,1
-336.40897,1
-338.34985,1
-329.64038,1
-336.84631,1
-285.59113,0
-278.01385,0
-340.22009,1
-289.13748,0
-280.41391,0
-286.84296,0
-274.87479,0
-278.03604,0
-341.36716,1
-332.59521,1
-289.86127,0
-340.95905,1
-290.18811,0
-284.29105,0
-283.96991,0
-283.46783,0
-331.91495,1
-272.98367,0
-282.53937,0
-282.36826,0
-337.254,1
-336.9537,1
-334.66052,1
-328.46747,1
-330.64987,1
-283.34329,0
-283.93228,0
-278.58627,0
-284.99255,0
-289.13248,0
-281.53259,0
-278.96304,0
-280.32397,0
-287.48001,0
-292.41135,0
-334.77835,1
-337.92371,1
-276.21283,0
-288.99881,0
-277.6557,0
-342.53378,1
-331.44128,1
-327.16907,1
-276.75336,0
-286.81372,0
-339.53055,1
-287.14505,0
-277.84338,0
-278.3671,0
-277.00085,0
-340.45081,1
-337.80756,1
-327.84256,1
-278.13907,0
-283.14197,0
-337.31558,1
-285.5585,0
-338.44958,1
-342.69125,1
-328.07028,1
-324.91193,1
-273.96091,0
-335.37906,1
-328.94836,1
-272.8663,0
-287.43042,0
-347.91211,1
-283.13885,0
-283.78873,0
-331.42908,1
-284.76917,0
-289.43262,0
-285.88013,0
-344.50284,1
-296.67633,0
-332.75574,1
-340.93558,1
-283.98331,0
-342.7128,1
-276.22696,0
-294.44485,0
-289.22006,0
-341.47003,1
-291.59546,0
-290.12369,0
-336.32349,1
-342.44485,1
-337.9704,1
-333.18323,1
-274.73724,0
-288.02322,0
-343.3277,1
-251.94963,0
-347.83066,1
-285.82062,0
-282.84949,0
-284.31705,0
-341.45102,1
-329.35083,1
-344.11829,1
-290.94409,0
-342.43652,1
-276.33557,0
-297.25726,0
-325.14883,1
-282.43283,0
-343.68027,1
-278.12363,0
-339.6402,1
-339.44055,1
-286.23755,0
-336.40195,1
-342.29135,1
-334.57541,1
-329.86447,1
-293.48178,0
-283.198,0
-349.96594,1
-283.72705,0
-336.70343,1
-285.09143,0
-332.0278,1
-331.54416,1
-289.26807,0
-330.78891,1
-275.90463,0
-287.81268,0
-334.41101,1
-284.32547,0
-276.19821,0
-321.79816,1
-333.79752,1
-285.31189,0
-288.16507,0
-290.27109,0
-338.03503,1
-334.25024,1
-276.36395,0
-330.91098,1
-344.79843,1
-287.95425,0
-287.30594,0
-281.99554,0
-282.52176,0
-272.86905,0
-335.05124,1
-325.20477,1
-274.75253,0
-341.40906,1
-276.23062,0
-333.59686,1
-336.85815,1
-330.60297,1
-335.11505,1
-332.96747,1
-337.11118,1
-279.18689,0
-288.48859,0
-331.97797,1
-280.29202,0
-328.25168,1
-293.68091,0
-337.88107,1
-340.50925,1
-284.73471,0
-284.8468,0
-285.17334,0
-286.43265,0
-274.08618,0
-274.72476,0
-328.17807,1
-334.15286,1
-283.35699,0
-287.59698,0
-289.34134,0
-279.29291,0
-284.983,0
-341.22467,1
-288.01053,0
-337.63681,1
-339.57303,1
-336.59421,1
-282.94601,0
-338.84433,1
-272.47821,0
-279.91937,0
-278.8544,0
-287.97031,0
-280.90717,0
-349.96552,1
-324.50552,1
-273.8533,0
-341.2551,1
-337.85904,1
-337.51028,1
-285.3053,0
-288.56058,0
-283.45779,0
-354.6312,1
-329.66617,1
-338.05566,1
-347.39313,1
-285.80014,0
-352.17618,1
-329.44397,1
-280.42303,0
-278.94348,0
-342.56705,1
-273.84424,0
-334.87393,1
-285.21191,0
-281.48746,0
-292.07272,0
-337.95148,1
-337.55978,1
-338.72699,1
-340.09811,1
-284.53738,0
-286.24139,0
-347.22467,1
-284.13632,0
-280.70761,0
-331.74292,1
-278.94144,0
-349.16486,1
-341.55719,1
-344.13605,1
-328.47516,1
-342.45264,1
-295.33044,0
-345.59833,1
-343.41669,1
-328.25085,1
-281.76517,0
-283.70337,0
-343.43735,1
-331.39307,1
-279.12994,0
-339.62772,1
-339.17911,1
-281.92554,0
-281.57523,0
-290.34164,0
-344.73666,1
-338.81735,1
-335.77249,1
-341.2851,1
-329.96094,1
-336.77872,1
-280.65237,0
-345.81677,1
-294.03821,0
-292.85376,0
-282.02908,0
-293.90375,0
-334.25305,1
-286.89575,0
-331.35028,1
-287.98273,0
-330.81558,1
-284.86649,0
-279.05499,0
-283.20599,0
-333.10724,1
-330.26239,1
-338.74347,1
-340.34003,1
-267.42642,0
-276.10132,0
-282.91962,0
-286.02304,0
-333.17313,1
-281.40646,0
-289.50348,0
-286.03549,0
-278.79813,0
-335.17917,1
-281.31042,0
-291.77631,0
-336.04971,1
-326.97656,1
-335.37561,1
-332.87943,1
-340.87207,1
-279.5896,0
-342.07501,1
-285.44113,0
-286.29364,0
-284.18323,0
-294.61661,0
-284.46725,0
-280.17474,0
-291.87924,0
-297.28558,0
-284.46567,0
-272.94223,0
-343.39319,1
-283.37842,0
-330.42093,1
-281.35953,0
-338.48502,1
-285.53769,0
-283.77542,0
-287.5441,0
-331.18024,1
-330.18396,1
-339.80307,1
-325.58459,1
-342.5011,1
-339.25763,1
-279.66296,0
-290.71106,0
-282.71484,0
-278.73801,0
-338.7236,1
-278.23325,0
-282.74655,0
-332.39413,1
-331.39157,1
-320.75903,1
-333.38925,1
-284.06473,0
-286.12866,0
-347.56931,1
-281.26419,0
-335.84958,1
-274.93701,0
-291.08612,0
-280.47702,0
-338.24789,1
-336.77756,1
-331.16782,1
-289.0495,0
-341.9581,1
-334.12332,1
-288.84,0
-279.97894,0
-341.60938,1
-272.41162,0
-276.89151,0
-286.13266,0
