projection,true_label,pred
-17.1039,1,1
11.7821,0,0
-6.87148,1,1
-10.8559,1,1
-9.78171,1,1
14.7413,0,0
13.3833,0,0
14.6395,0,0
-6.69754,1,1
-15.8324,1,1
-12.4263,1,1
-14.4033,1,1
-13.0508,1,1
15.7208,0,0
15.8245,0,0
-14.8342,1,1
17.3469,0,0
-15.0501,1,1
-7.83168,1,1
15.879,0,0
14.5053,0,0
-9.61411,1,1
-11.4852,1,1
-13.6874,1,1
14.7046,0,0
-7.76332,1,1
12.6984,0,0
-13.4516,1,1
14.9061,0,0
-13.8188,1,1
-15.1034,1,1
-12.8036,1,1
8.17609,0,0
-17.2213,1,1
12.4753,0,0
-18.9196,1,1
-15.8522,1,1
-14.3319,1,1
-15.4224,1,1
-11.4113,1,1
-17.9795,1,1
-12.2611,1,1
13.0324,0,0
9.96714,0,0
11.8187,0,0
-13.2455,1,1
-13.5185,1,1
-10.7294,1,1
-8.82443,1,1
-14.568,1,1
16.9279,0,0
-10.9675,1,1
10.5405,0,0
13.2294,0,0
10.4328,0,0
8.83778,0,0
14.7475,0,0
15.294,0,0
-20.8138,1,1
12.6857,0,0
13.3501,0,0
11.3294,0,0
-12.6743,1,1
17.0991,0,0
-13.1306,1,1
-14.7421,1,1
-18.5147,1,1
-10.0847,1,1
13.3122,0,0
-15.1267,1,1
14.4309,0,0
9.96883,0,0
15.8131,0,0
17.4558,0,0
-13.3902,1,1
17.3428,0,0
12.488,0,0
-10.4154,1,1
-12.5068,1,1
16.9674,0,0
17.7886,0,0
-13.4575,1,1
-10.5083,1,1
-14.2515,1,1
15.3633,0,0
-16.1194,1,1
-13.4214,1,1
12.2168,0,0
-11.4816,1,1
11.766,0,0
12.7867,0,0
-11.2721,1,1
-13.1422,1,1
18.6571,0,0
-8.60077,1,1
-13.905,1,1
11.3486,0,0
8.69282,0,0
-18.8298,1,1
14.3086,0,0
11.7769,0,0
9.6833,0,0
-12.3902,1,1
-13.9441,1,1
15.2387,0,0
-15.0978,1,1
-12.1512,1,1
-18.8285,1,1
-15.4526,1,1
9.78671,0,0
-15.2365,1,1
8.94319,0,0
7.8821,0,0
-10.4201,1,1
-18.1799,1,1
14.8019,0,0
13.7046,0,0
12.1968,0,0
-14.4623,1,1
15.2384,0,0
-14.6028,1,1
11.5176,0,0
-8.90857,1,1
-17.5532,1,1
13.8191,0,0
-14.1693,1,1
-13.2328,1,1
16.3646,0,0
13.0606,0,0
12.5112,0,0
15.8868,0,0
10.4288,0,0
8.75111,0,0
-10.4889,1,1
-12.9604,1,1
-14.6775,1,1
-12.1882,1,1
-10.5957,1,1
18.6595,0,0
-15.9254,1,1
-14.0766,1,1
16.5678,0,0
-11.957,1,1
-14.9403,1,1
-6.20847,1,1
12.2028,0,0
-13.1999,1,1
10.9506,0,0
8.87988,0,0
17.1944,0,0
13.6499,0,0
13.0869,0,0
-9.39052,1,1
-11.5271,1,1
14.8362,0,0
-8.90823,1,1
-19.249,1,1
11.1144,0,0
-13.1329,1,1
-10.0409,1,1
10.4847,0,0
