sample,mean_class0,mean_class1
46736,731.465,669.895
46737,585.664,665.686
46738,663.82,662.421
46739,681.452,679.173
46740,538.278,671.785
46741,693.743,717.144
46742,679.841,648.333
46743,674.162,697.213
46744,508.948,527.034
46745,798.262,766.368
46746,850.14,864.301
46747,151.735,169.149
46748,1200.91,1177
46749,565.319,550.658
46750,1701.21,1755.58
46751,1915.25,1887.96
46752,1589.32,1733.41
46753,-1144.88,-1193.41
46754,558.877,577.632
46755,672.721,649.278
46756,1611.87,1651.54
46757,772.747,806.744
46758,1206.76,1212.99
46759,750.792,733.38
46760,864.127,902.701
46761,1188.11,1109.05
46762,1031.71,1103.21
46763,951.099,880.537
46764,1014.17,975.549
46765,613.637,744.204
46766,789.192,793.085
46767,792.837,807.001
46768,806.061,890.674
46769,477.33,480.301
46770,738.924,739.307
46771,633.897,710.872
46772,255.237,271.893
46773,456.307,448.086
46774,570.744,603.919
46775,647.29,642.749
46776,670.686,687.678
46777,411.211,450.319
46778,550.485,468.875
46779,323.391,349.208
46780,485.383,483.307
46781,521.325,487.173
46782,435.878,496.021
46783,408.922,407.968
46784,361.791,359.86
46785,400.275,491.211
46786,578.713,569.042
46787,396.291,439.753
46788,528.276,514.921
46789,569.303,563.544
46790,536.498,554.781
46791,645.34,639.914
46792,672.721,608.301
46793,651.189,677.026
46794,686.029,674.448
46795,658.988,671.957
46796,740.366,777.45
46797,613.807,594.899
46798,640,677.455
46799,639.491,643.952
46800,645.679,670.84
46801,668.143,702.797
46802,620.079,664.14
46803,702.389,661.992
46804,606.517,655.119
46805,596.175,566.55
46806,799.534,758.293
46807,454.697,490.438
46808,541.076,476.521
46809,580.323,518.872
46810,858.872,958.969
46811,545.823,423.86
46812,1326.54,1492.96
46813,980.09,924.95
46814,203.105,292.51
46815,12.2914,45.3584
46816,2038.76,2007.8
46817,2835.07,2827.85
46818,1219.39,1284.64
46819,182.675,187.962
46820,859.719,799.184
46821,1196.76,1215.83
46822,1516.42,1526.81
46823,1406.56,1354.48
46824,1267.03,1330
46825,753.505,731.49
46826,651.359,612.854
46827,1021.54,1051.23
46828,1046.46,1047.71
46829,821.404,897.976
46830,739.857,791.366
46831,490.977,481.16
46832,703.152,783.034
46833,726.633,649.45
46834,461.902,438.207
46835,729.007,767.57
46836,886.845,776.934
46837,467.073,570.846
46838,436.98,336.408
46839,263.205,328.591
46840,568.117,597.82
46841,544.805,528.408
46842,661.277,661.562
46843,446.474,481.589
46844,382.728,442.158
46845,435.115,429.616
46846,547.433,574.368
46847,647.46,679.689
46848,635.762,663.195
46849,519.121,549.369
46850,605.499,577.289
46851,661.192,615.345
46852,625.42,690.255
46853,761.727,608.472
46854,579.306,694.035
46855,724.26,695.495
46856,679.163,700.564
46857,627.539,703.742
46858,799.11,768.859
46859,680.689,761.557
46860,798.601,845.315
46861,829.203,775.044
46862,740.45,817.826
46863,793.939,817.138
46864,825.558,761.901
46865,783.597,845.23
46866,779.783,771.866
46867,820.98,795.06
46868,805.044,814.991
46869,603.634,654.604
46870,985.091,926.668
46871,915.751,986.717
46872,282.024,313.213
46873,1334.51,1308.78
46874,657.208,745.75
46875,1913.73,1918.28
46876,1996.46,1997.66
46877,1774.62,1883.32
46878,-1022.56,-1070.3
46879,712.646,709.326
46880,860.143,784.494
46881,1733.68,1744.84
46882,948.471,944.537
46883,1340.27,1307.23
46884,842.596,890.073
46885,1037.05,1083.02
46886,1263.05,1237.99
46887,1173.02,1248.99
46888,1048.33,1023.66
46889,1108.68,1169.87
46890,838.612,893.079
46891,867.942,876.843
46892,1010.78,954.502
46893,901.001,1020.82
46894,646.442,605.895
46895,921.515,917.734
46896,708.408,765.766
46897,504.032,425.579
46898,501.574,532.102
46899,712.392,749.444
46900,847.428,807.517
46901,726.718,771.608
46902,562.437,608.902
46903,606.94,633.128
46904,440.032,528.58
46905,667.634,670.411
46906,572.185,570.244
46907,655.767,687.764
46908,470.379,494.389
46909,587.444,511.914
46910,582.273,677.111
46911,645.34,600.483
46912,592.445,636.993
46913,574.305,555.468
46914,755.03,772.123
46915,660.938,693.949
46916,707.476,715.254
46917,849.462,815.592
46918,694.675,774.701
46919,831.068,888.784
46920,797.245,813.358
46921,803.009,895.055
46922,807.926,808.634
46923,700.779,749.616
46924,878.283,843.082
46925,771.136,767.141
46926,785.123,764.907
46927,853.192,814.132
46928,727.481,712.333
46929,843.274,861.552
46930,663.057,696.612
46931,893.711,884.575
46932,586.427,672.129
46933,597.446,584.762
46934,768.763,767.055
46935,946.607,1073.4
46936,679.332,542.153
46937,1513.2,1670.19
46938,1046.63,1005.79
46939,416.466,505.213
46940,154.872,114.341
46941,2176.51,2120.85
46942,3022.58,2943.74
46943,1260.08,1372.61
46944,407.142,359.259
46945,957.457,920.655
46946,1266.61,1335.84
46947,1674.17,1703.95
46948,1433.18,1525.69
46949,1469.54,1522.77
46950,835.476,863.528
46951,790.464,766.368
46952,1179.13,1213.94
