sample,mean0_minus_mean1
437,80.0032
438,57.061
439,-24.0764
440,-23.9336
441,66.4036
442,-29.4961
443,-55.9966
444,-3.25317
445,-41.0415
446,-47.6755
447,75.9661
448,-50.9104
449,1.10376
450,37.1479
451,-44.3645
452,87.4263
453,-24.0349
454,81.8953
455,-32.2905
456,-27.3494
457,11.999
458,43.0354
459,-108.347
460,8.57861
461,-57.8779
462,-1.62598
463,-13.176
464,-36.0776
465,27.6737
466,45.2668
467,-52.3878
468,58.1328
469,-56.4181
470,22.7816
471,-43.8673
472,-41.2605
473,36.5299
474,-101.855
475,1.76587
476,-14.0215
477,-36.3519
478,4.5155
479,20.9918
480,-1.9342
481,6.05713
482,2.21021
483,144.142
484,-179.444
485,152.673
486,-105.186
487,-19.3438
488,49.0457
489,-93.0715
490,-59.7673
491,63.6458
492,-86.3025
493,68.2002
494,-32.3616
495,50.5742
496,-28.1362
497,-13.3934
498,155.127
499,-169.123
500,168.474
501,-51.083
502,25.4233
503,-35.9087
504,5.12598
505,-27.9023
506,-56.2061
507,26.3315
508,88.5625
509,-127.12
510,196.565
511,-66.21
512,115.759
513,80.5713
514,-151.849
515,84.2544
516,-27.7837
517,-38.0977
518,-31.188
519,-55.9922
520,48.5586
521,-130.428
522,77.3274
523,-35.6533
524,-28.2632
525,93.8566
526,-113.658
527,162.605
528,-76.6714
529,2.90942
530,19.949
531,-111.985
532,94.714
533,-83.1309
534,-112.226
535,98.041
536,-155.75
537,115.797
538,-66.328
539,35.1184
540,8.88367
541,28.3411
542,62.2021
543,-60.0881
544,1.20557
545,38.4912
546,-100.841
547,125.614
548,-96.9983
549,24.0999
550,-10.8054
551,-60.4631
552,126.696
553,-149.42
554,188.229
555,-88.5627
556,21.5266
557,83.874
558,-22.3135
559,-11.8716
560,-2.38916
561,-38.9268
562,62.8462
563,-57.2146
564,-3.08691
565,-97.2703
566,142.535
567,-33.9951
568,-82.9268
569,107.664
570,-52.0398
571,36.4648
572,77.875
573,-19.8218
574,20.9043
575,-82.616
576,35.7363
577,6.69604
578,-74.4912
579,79.6384
580,-110.492
581,68.4934
582,9.68628
583,6.92334
584,-17.8118
585,44.8525
586,3.62817
587,20.3228
588,8.10596
589,-14.5637
590,-61.8027
591,66.6843
592,-78.7668
593,-13.7561
594,-54.5315
595,-53.334
596,3.37549
597,4.74756
598,-27.3108
599,9.0249
600,17.9941
601,12.2566
602,85.541
603,-68.7168
604,69.0977
605,-36.7871
606,-40.4988
607,33.7786
608,-15.6958
609,-115.229
610,90.8635
611,-96.2061
612,32.0439
613,17.9629
614,-17.8513
615,-5.53271
616,78.2358
617,20.3809
618,-51.0146
619,26.5701
620,-12.1628
621,-49.156
622,-10.9402
623,7.87256
624,-101.85
625,98.5444
626,-17.2534
627,76.23
628,-59.936
629,98.7695
630,-31.4526
631,15.7129
632,77.6865
633,8.31982
634,-98.5581
635,130.481
636,-124.033
637,76.4648
638,-90.0347
639,-34.7866
640,3.229
641,8.57959
642,5.93213
643,-4.24902
644,28.2568
645,36.939
646,-48.406
647,117.72
648,-108.957
649,-6.81519
650,5.75977
651,-81.845
652,71.9193
653,-144.989
654,42.9222
655,-14.9915
656,-54.969
657,68.0371
658,33.9955
659,-55.3575
660,104.687
661,-52.1741
662,111.682
663,-80.6379
664,-0.539917
665,-54.2295
666,51.8496
667,-28.2529
668,-47.7178
669,19.4585
670,9.37573
671,-35.0854
672,44.7649
673,0.17749
674,22.2104
675,45.9614
676,42.3254
677,43.9172
678,-98.0432
679,83.7539
680,-68.498
681,10.5156
682,12.46
683,-18.8687
684,-39.8445
685,67.7422
686,-62.2556
687,21.563
688,57.854
689,-47.5647
690,17.7251
691,121.782
692,-23.1689
693,-57.4292
694,18.1211
695,-8.12744
696,-31.6016
697,62.2544
698,-89.5034
699,0.766602
700,5.45361
