sample,mean_class0,mean_class1
4388,5647.65,5520.27
4389,5638.82,5608.99
4390,6084.31,6058.31
4391,5611.53,5562.28
4392,5884.93,5744.72
4393,5602.28,5373.78
4394,5349.27,5333.52
4395,5448.53,5436.16
4396,5622.36,5517.02
4397,5568.43,5426.51
4398,5634.77,5613.9
4399,6243.35,6091.53
4400,5676.9,5574.4
4401,5433.39,5335.57
4402,5371.52,5339.24
4403,5485.96,5399.7
4404,5578.15,5448.97
4405,5506.3,5485.21
4406,5779.66,5653.95
4407,5946.03,5874.98
4408,5655.32,5544.69
4409,5377.83,5315.46
4410,5318.74,5236.69
4411,5451.94,5356.79
4412,5510.95,5346.5
4413,5412.41,5307.35
4414,5915.89,5811.87
4415,5852.4,5759.91
4416,5535.59,5403.75
4417,5284.8,5223.36
4418,5315.11,5162.1
4419,5446.27,5239.55
4420,5489.67,5447.51
4421,5578.49,5608.86
4422,5764.35,5645.11
4423,5719.02,5531.37
4424,5349.73,5275.32
4425,5293.79,5198.3
4426,5285.99,5138.23
4427,5417.87,5296.5
4428,5356.43,5289.8
4429,5422.94,5302.44
4430,5856.23,5818.45
4431,5630.59,5559.42
4432,5291.53,5129.22
4433,5171,4992.38
4434,5298.19,5208.46
4435,5303.81,5275.37
4436,5376.77,5263.88
4437,5612.39,5421.94
4438,5648.42,5423.99
4439,5443.84,5448.71
4440,5218.2,5145.79
4441,5152.66,5017.7
4442,5235.42,5061.51
4443,5251.24,5128.92
4444,5183.36,5092.33
4445,5703.93,5556.47
4446,5626.97,5568.47
4447,5347.13,5227.34
4448,5051.99,4921.38
4449,5078.6,4921.08
4450,5181.31,5064.2
4451,5274.39,5117.95
4452,5293.67,5194.16
4453,5508.18,5483.34
4454,5496.96,5371.82
4455,5201.31,5089.94
4456,5070.41,4932.23
4457,4983.39,4904.77
4458,5129.51,4952.17
4459,5149.97,5005.06
4460,5202.38,5102.79
4461,5438.98,5334.37
4462,5505.96,5385.65
4463,5165.79,4922.07
4464,4881.31,4758.46
4465,4894.91,4936.71
4466,5089.3,4951.7
4467,5180.76,4959.59
4468,5433.48,5201.12
4469,5204.34,5122.95
4470,5298.14,5220.42
4471,4982.92,4881.89
4472,4923.74,4765.25
4473,4888.43,4725.8
4474,4992.38,4824.42
4475,4939.98,4870.58
4476,4989.1,4816.57
4477,5714.97,5549.17
4478,5085.21,5055.53
4479,4833.43,4711.32
4480,4802.26,4668.07
4481,4898.75,4719.73
4482,4928.3,4857.38
4483,5007.39,4847.31
4484,5120.43,5015.7
4485,5259.6,5167.9
4486,5050.76,4923
4487,4746.66,4626.87
4488,4686.8,4552.07
4489,4790.15,4662.18
4490,4841.15,4711.36
4491,4826.31,4725.84
4492,5314.6,5105.95
4493,5099.53,4903.79
4494,4848.65,4736.94
4495,4635.37,4578.75
4496,4626.8,4532.81
4497,4778.6,4633.36
4498,4827.76,4656.97
4499,4842.17,4612.31
4500,5092.46,4984.4
4501,5075.49,4996.74
4502,4770.71,4579.82
4503,4605.65,4432.22
4504,4508.7,4415.91
4505,4668.29,4560.05
4506,4668.93,4524.45
