projection,true_label,pred
-154.852,1,1
181.335,0,0
153.538,0,0
-174.836,1,1
144.369,0,0
184.132,0,0
174.83,0,0
178.183,0,0
-169.922,1,1
-204.355,1,1
163.636,0,0
-185.416,1,1
165.776,0,0
191.398,0,0
-194.396,1,1
166.653,0,0
161.061,0,0
-193.684,1,1
-162.319,1,1
-157.587,1,1
168.37,0,0
170.151,0,0
-190.984,1,1
-149.319,1,1
174.893,0,0
-163.758,1,1
-166.876,1,1
170.657,0,0
-193.392,1,1
-157.68,1,1
190.232,0,0
182.465,0,0
-204.046,1,1
183.352,0,0
164.893,0,0
-153.102,1,1
162.365,0,0
-172.407,1,1
-153.358,1,1
-150.51,1,1
-163.266,1,1
173.958,0,0
153.697,0,0
-159.789,1,1
170.555,0,0
163.833,0,0
-194.953,1,1
-164.161,1,1
168,0,0
150.48,0,0
175.438,0,0
-197.81,1,1
148.368,0,0
167.302,0,0
176.695,0,0
174.183,0,0
-176.285,1,1
179.139,0,0
171.725,0,0
167.894,0,0
175.382,0,0
188.166,0,0
-170.703,1,1
154.149,0,0
-137.846,1,1
-200.346,1,1
172.652,0,0
-160.687,1,1
167.973,0,0
-153.962,1,1
157.53,0,0
-165.629,1,1
151.137,0,0
-156.908,1,1
-148.039,1,1
-172.008,1,1
185.929,0,0
-185.702,1,1
-172.965,1,1
-181.042,1,1
-169.522,1,1
174.174,0,0
184.121,0,0
180.292,0,0
-152.023,1,1
166.971,0,0
-163.467,1,1
-166.659,1,1
-172.855,1,1
149.213,0,0
-185.749,1,1
164.859,0,0
186.873,0,0
139.734,0,0
-199.123,1,1
-195.126,1,1
163.483,0,0
164.507,0,0
176.686,0,0
153.597,0,0
-166.095,1,1
176.767,0,0
181.01,0,0
169.89,0,0
220.196,0,0
-171.932,1,1
-192.506,1,1
171.082,0,0
-161.365,1,1
170.556,0,0
163.696,0,0
157.896,0,0
183.309,0,0
140.664,0,0
156.961,0,0
-162.331,1,1
194.186,0,0
174.271,0,0
-151.864,1,1
-167.26,1,1
167.379,0,0
-191.106,1,1
-187.776,1,1
160.81,0,0
163.017,0,0
-179.709,1,1
-179.501,1,1
172.009,0,0
146.885,0,0
159.709,0,0
-168.154,1,1
-123.352,1,1
161.95,0,0
-181.073,1,1
-176.981,1,1
-175.32,1,1
-199.106,1,1
-174.796,1,1
-187.021,1,1
180.636,0,0
-173.731,1,1
-189.078,1,1
-150.898,1,1
155.313,0,0
-149.087,1,1
-175.826,1,1
178.935,0,0
-195.364,1,1
-184.311,1,1
-167.698,1,1
170.92,0,0
-136.423,1,1
-146.709,1,1
159.085,0,0
-193.978,1,1
-145.508,1,1
147.637,0,0
163.665,0,0
161.755,0,0
-178.529,1,1
168.188,0,0
-155.313,1,1
-186.148,1,1
-172.418,1,1
185.299,0,0
170.543,0,0
177.302,0,0
195.004,0,0
182.667,0,0
-148.048,1,1
-167.062,1,1
-146.364,1,1
-183.556,1,1
-185.148,1,1
168.256,0,0
157.955,0,0
158.425,0,0
178.443,0,0
-208.334,1,1
179.244,0,0
-180.758,1,1
-188.836,1,1
158.056,0,0
-161.222,1,1
-179.788,1,1
-191.323,1,1
-160.999,1,1
-186.696,1,1
198.317,0,0
160.936,0,0
160.244,0,0
-178.212,1,1
-160.472,1,1
-187.323,1,1
162.251,0,0
155.918,0,0
176.12,0,0
178.493,0,0
166.466,0,0
-171.519,1,1
-196.108,1,1
207.528,0,0
163.897,0,0
156.921,0,0
165.25,0,0
161.567,0,0
-190.718,1,1
-166.181,1,1
-181.223,1,1
-155.952,1,1
-163.187,1,1
185.194,0,0
-163.045,1,1
192.563,0,0
154.929,0,0
-176.46,1,1
-187.159,1,1
165.642,0,0
162.568,0,0
171.363,0,0
-157.632,1,1
151.55,0,0
-168.368,1,1
-137.78,1,1
-145.463,1,1
174.623,0,0
-206.142,1,1
-196.446,1,1
-164.3,1,1
-149.288,1,1
169.919,0,0
-181.577,1,1
170.542,0,0
152.925,0,0
-190.015,1,1
-174.031,1,1
-190.478,1,1
186.879,0,0
132.61,0,0
-193.918,1,1
-170.281,1,1
177.938,0,0
-189.89,1,1
168.26,0,0
-185.009,1,1
186.1,0,0
171.08,0,0
173.809,0,0
-207.606,1,1
169.985,0,0
169.784,0,0
142.148,0,0
-122.004,1,1
-155.408,1,1
-174.461,1,1
-176.703,1,1
-176.821,1,1
164.633,0,0
-158.886,1,1
-139.19,1,1
-165.278,1,1
-179.256,1,1
178.585,0,0
141.638,0,0
178.623,0,0
163.323,0,0
174.298,0,0
-153.904,1,1
-169.884,1,1
-176.132,1,1
-160.317,1,1
-171.339,1,1
175.824,0,0
171.386,0,0
188.88,0,0
-176.845,1,1
-216.57,1,1
-186.133,1,1
-169.959,1,1
-160.337,1,1
-182.972,1,1
-192.317,1,1
-161.558,1,1
159.477,0,0
-164.635,1,1
174.785,0,0
-171.256,1,1
-155.533,1,1
-142.432,1,1
162.81,0,0
-162.94,1,1
176.319,0,0
170.183,0,0
-152.538,1,1
185.843,0,0
-171.092,1,1
-172.789,1,1
-178.279,1,1
-181.124,1,1
-172.683,1,1
157.693,0,0
-151.791,1,1
-181.173,1,1
-196.353,1,1
-178.65,1,1
-172.025,1,1
-151.817,1,1
175.899,0,0
-177.388,1,1
-167.175,1,1
-182.471,1,1
165.629,0,0
-161.044,1,1
-202.054,1,1
172.208,0,0
-153.491,1,1
-159.769,1,1
174.016,0,0
162.259,0,0
154.305,0,0
170.121,0,0
-154.966,1,1
163.905,0,0
-153.403,1,1
167.404,0,0
-189.443,1,1
-162.557,1,1
158.999,0,0
-165.452,1,1
150.581,0,0
170.108,0,0
189.917,0,0
152.306,0,0
164.914,0,0
-177.795,1,1
-137.884,1,1
-148.183,1,1
172.565,0,0
157.53,0,0
-133.435,1,1
-181.893,1,1
165.205,0,0
164.96,0,0
-160.01,1,1
-152.592,1,1
171.77,0,0
177.256,0,0
185.603,0,0
177.572,0,0
172.224,0,0
176.297,0,0
-184.042,1,1
171.448,0,0
177.776,0,0
164.767,0,0
-152.11,1,1
183.771,0,0
146.948,0,0
-173.649,1,1
192.765,0,0
144.111,0,0
176.831,0,0
-189.309,1,1
-176.757,1,1
-181.842,1,1
168.192,0,0
-185.596,1,1
-149.741,1,1
-179.142,1,1
170.336,0,0
157.593,0,0
170.278,0,0
-209.324,1,1
156.851,0,0
-178.915,1,1
177.32,0,0
178.09,0,0
166.157,0,0
181.592,0,0
164.308,0,0
-177.504,1,1
-158.179,1,1
161.147,0,0
147.882,0,0
-181.122,1,1
-171.485,1,1
-160.941,1,1
-200.48,1,1
-156.182,1,1
192.888,0,0
-153.007,1,1
195.601,0,0
-201.869,1,1
161.729,0,0
162.981,0,0
199.302,0,0
179.34,0,0
181.809,0,0
-203.052,1,1
180.855,0,0
178.128,0,0
-208.886,1,1
204.079,0,0
180.572,0,0
-158.756,1,1
-191.86,1,1
176.058,0,0
149.939,0,0
-173.933,1,1
-185.661,1,1
160.708,0,0
-160.674,1,1
173.193,0,0
171.599,0,0
178.24,0,0
-160.708,1,1
175.152,0,0
139.399,0,0
-168.766,1,1
-163.087,1,1
142.612,0,0
-168.907,1,1
-186.471,1,1
-177.281,1,1
-161.811,1,1
-178.895,1,1
182.803,0,0
169.485,0,0
162.944,0,0
134.226,0,0
-122.34,1,1
183.803,0,0
177.504,0,0
157.219,0,0
161.561,0,0
163.302,0,0
181.865,0,0
199.137,0,0
-204.839,1,1
159.288,0,0
-165.562,1,1
205.512,0,0
180.897,0,0
165.311,0,0
-167.3,1,1
160.661,0,0
149.089,0,0
-193.14,1,1
181.608,0,0
-154.7,1,1
-188.597,1,1
-190.763,1,1
164.916,0,0
-178.362,1,1
-172.959,1,1
171.947,0,0
-181.289,1,1
163.129,0,0
-150.476,1,1
177.355,0,0
164.238,0,0
169.197,0,0
149.959,0,0
-186.583,1,1
-174.493,1,1
164.562,0,0
166.905,0,0
167.103,0,0
-150.261,1,1
153.44,0,0
192.13,0,0
-158.963,1,1
177.388,0,0
-205.153,1,1
179.12,0,0
-183.061,1,1
-166.165,1,1
-176.97,1,1
157.559,0,0
162.469,0,0
-144.474,1,1
166.11,0,0
195.933,0,0
-168.36,1,1
-177.814,1,1
159.582,0,0
-183.726,1,1
-190.778,1,1
199.477,0,0
169.977,0,0
168.575,0,0
171.205,0,0
-143.364,1,1
-167.257,1,1
175.874,0,0
-166.311,1,1
-181.992,1,1
201.513,0,0
170.327,0,0
-129.298,1,1
-151.988,1,1
-160.141,1,1
-150.182,1,1
174.231,0,0
173.955,0,0
164.434,0,0
-182.833,1,1
147.547,0,0
168.123,0,0
-197.298,1,1
178.588,0,0
169.819,0,0
169.415,0,0
190.457,0,0
174.693,0,0
-196.706,1,1
-151.823,1,1
183.349,0,0
178.168,0,0
167.478,0,0
-167.661,1,1
-185.671,1,1
-129.481,1,1
-156.124,1,1
-164.776,1,1
-186.058,1,1
-183.402,1,1
-191.785,1,1
165.143,0,0
-169.84,1,1
176.221,0,0
167.947,0,0
172.634,0,0
-181.117,1,1
-166.943,1,1
190.638,0,0
-152.275,1,1
181.682,0,0
161.399,0,0
191.377,0,0
-144.707,1,1
-146.361,1,1
155.853,0,0
163.53,0,0
-192.737,1,1
-159.972,1,1
203.342,0,0
-156.638,1,1
159.948,0,0
-139.435,1,1
176.096,0,0
184.107,0,0
154.844,0,0
-176.521,1,1
-175.387,1,1
181.477,0,0
-147.181,1,1
160.887,0,0
-157.494,1,1
189.861,0,0
176.664,0,0
-157.128,1,1
185.863,0,0
165.815,0,0
166.297,0,0
-188.058,1,1
153.075,0,0
165.535,0,0
-153.059,1,1
163.351,0,0
161.788,0,0
-145.643,1,1
164.7,0,0
193.434,0,0
-181.966,1,1
162.229,0,0
189.253,0,0
-197.325,1,1
165.838,0,0
-166.81,1,1
-163.141,1,1
-131.184,1,1
-158.772,1,1
157.331,0,0
-184.648,1,1
-176.63,1,1
-188.011,1,1
-169.761,1,1
-171.564,1,1
-175.788,1,1
193.906,0,0
173.377,0,0
-176.598,1,1
-159.052,1,1
-160.039,1,1
-185.269,1,1
181.059,0,0
-150.76,1,1
153.818,0,0
164.675,0,0
-187.453,1,1
-163.007,1,1
-154.094,1,1
-173.546,1,1
-176.132,1,1
168.55,0,0
188.074,0,0
-187.521,1,1
195.532,0,0
-214.614,1,1
152.719,0,0
148.929,0,0
196.576,0,0
173.739,0,0
-170.517,1,1
176.567,0,0
-134.414,1,1
169.229,0,0
168.435,0,0
192.31,0,0
-173.839,1,1
-167.075,1,1
-176.172,1,1
-150.622,1,1
182.446,0,0
-194.59,1,1
