sample,mean0,mean1,diff_of_means,t_first,t_second
0,864.22588,651.1467,213.07918,0.80921703,-0.0021016653
1,-381.28941,-468.16131,86.871897,0.33953478,1.2997581
2,-1010.4471,-1118.7095,108.26247,0.62292679,0.99045718
3,55.717647,174.30742,-118.58978,-1.0344923,0.26730395
4,-798.72,-821.41438,22.694378,0.22652788,1.2325987
5,-448.30118,-465.31853,17.017351,0.22257773,-0.23479133
6,-200.43294,-354.00117,153.56823,1.741792,0.41199352
7,-195.31294,-146.92694,-48.385998,-0.70067502,-0.22196267
8,358.24941,463.82233,-105.57291,-1.2446827,-1.362596
9,189.13882,237.14787,-48.009043,-0.73734263,-0.44115701
10,-123.18118,-146.47808,23.296907,0.35150768,-0.94170939
11,-695.86824,-759.02279,63.154558,0.87743117,0.12810871
12,-202.99294,-248.66861,45.675674,0.71637432,-0.38069106
13,-540.76235,-532.04909,-8.7132588,-0.13454508,-1.6186816
14,139.74588,149.62011,-9.8742228,-0.15153246,0.022968956
15,180.10353,130.31911,49.784418,0.71124889,-0.3453245
16,1424.2635,1363.3384,60.925131,0.84863024,0.98497321
17,972.19765,994.52484,-22.327192,-0.35214689,0.3836262
18,355.38824,354.30041,1.0878262,0.017836779,-0.86770943
19,-835.76471,-782.96201,-52.802695,-0.8200125,-0.029140624
20,-254.64471,-267.37113,12.726422,0.20118058,-0.15781176
21,-62.192941,-93.063705,30.870764,0.49906846,-0.78234016
22,483.08706,488.80888,-5.7218249,-0.090362476,-0.63997353
23,272.41412,301.78375,-29.369635,-0.42330273,0.15381924
24,1043.5765,1046.8919,-3.3154055,-0.049671565,-1.7523332
25,376.01882,288.7668,87.25202,1.3385891,-0.20076566
26,93.967059,84.98422,8.9828391,0.14846998,-0.41088727
27,-263.52941,-266.17417,2.6447554,0.042665508,-0.19861335
28,-78.004706,-12.119229,-65.885477,-1.0380865,0.69688302
29,156.46118,109.22268,47.2385,0.76873466,0.85880614
30,162.63529,191.96259,-29.327301,-0.46428433,-1.43535
31,2176.3012,2136.5751,39.726074,0.49107046,0.32176573
32,4849.6941,5025.7393,-176.04522,-2.6782294,0.67730931
33,3750.0988,3929.024,-178.92514,-2.4272706,0.29737248
34,269.55294,464.72005,-195.16711,-2.9547897,-1.0903082
35,-550.09882,-629.30216,79.203339,1.2438547,-0.19398415
36,227.53882,172.51198,55.026842,0.84015326,2.2294165
