proj,label
-56.527,0
-33.615356,0
-72.134712,1
-27.982134,0
-59.71833,1
-64.18869,0
-29.82127,1
-30.629414,0
-34.909088,0
-30.528116,0
-32.462585,1
-63.872368,0
-31.064072,0
-73.109428,1
-56.117405,1
-66.744232,0
-33.849792,0
-67.045517,1
-36.090511,0
-56.804165,1
-44.840641,1
-63.659321,0
-31.456846,0
-37.187038,0
-29.422077,0
-55.934067,0
-36.172558,0
-33.920712,0
-33.141521,0
-58.363586,0
-30.837524,0
-61.323017,1
-31.311583,0
-61.497437,1
-48.765427,1
-30.209249,0
-35.685928,0
-60.883331,0
-30.246672,0
-33.486099,0
-55.287315,1
-64.251625,1
-64.828094,1
-29.156969,0
-33.308739,0
-51.870476,1
-50.059029,1
-52.801727,1
-53.772388,1
-34.337341,0
-32.090572,0
-35.698002,0
-31.715904,1
-33.44936,0
-68.022552,1
-65.206535,0
-50.54781,1
-65.736336,0
-34.300758,0
-56.412575,1
-62.91494,1
-59.885521,1
-58.466408,1
-63.75407,1
-34.561855,0
-33.376831,0
-29.474375,1
-52.002022,1
-64.010445,1
-31.172745,1
-57.270515,1
-65.92141,1
-32.62405,0
-32.251892,0
-35.159969,1
-34.132652,0
-55.551456,0
-29.485401,0
-72.422997,0
-61.661636,0
-61.664047,1
-64.919785,0
-56.393997,1
-63.808182,1
-58.214417,0
-62.95866,1
-36.993313,0
-60.228249,1
-65.247009,1
-52.907249,1
-34.444832,0
-57.030399,0
-48.629715,1
-54.677582,1
-54.95063,1
-32.368401,1
-29.433712,0
-61.442444,1
-51.904064,0
-31.998161,0
-58.397572,1
-68.228798,1
-61.442131,1
-61.75032,1
-64.629929,0
-28.557533,0
-35.09132,0
-34.630569,0
-32.104107,0
-32.717606,0
-35.358841,0
-49.881287,1
-50.942944,0
-29.794271,0
-56.656368,0
-61.001427,0
-58.363365,1
-71.989418,1
-64.486115,1
-43.805054,1
-30.269855,0
-29.117844,1
-63.018166,1
-58.268528,1
-57.27319,0
-36.146786,0
-30.928917,0
-30.136532,1
-37.151703,0
-59.199123,1
-71.065216,0
-54.270866,1
-63.413063,1
-39.00724,0
-34.41095,1
-31.224665,0
-34.088737,0
-56.440166,1
-35.604744,0
-30.704098,1
-30.006083,0
-66.806152,1
-36.00845,0
-34.236141,1
-31.622511,0
-65.888725,1
-33.150852,0
-32.384502,0
-61.573574,1
-60.171425,1
-70.453316,1
-33.046642,1
-35.807335,0
-62.085938,1
-33.39537,1
-63.711674,1
-64.367081,1
-34.877922,0
-30.332445,0
-58.636326,1
-28.317751,0
-34.526947,1
-60.074078,0
