lda_projection,label
-6.435756233523387948e+01,0.000000000000000000e+00
-6.783371396942160914e+01,1.000000000000000000e+00
-3.255421259767579301e+01,0.000000000000000000e+00
-7.309334957141251721e+01,1.000000000000000000e+00
-7.340985306495164764e+01,1.000000000000000000e+00
-5.023944318016933863e+01,0.000000000000000000e+00
-5.720883130601256283e+01,1.000000000000000000e+00
-6.391633132074227319e+01,1.000000000000000000e+00
-6.480841834974738447e+01,1.000000000000000000e+00
-6.026015696427074886e+01,1.000000000000000000e+00
-3.192208391719494998e+01,0.000000000000000000e+00
-3.211761145862303124e+01,1.000000000000000000e+00
-3.461228629749079033e+01,0.000000000000000000e+00
-6.088604200832349278e+01,1.000000000000000000e+00
-6.786632272412720113e+01,1.000000000000000000e+00
-3.180277168060082005e+01,0.000000000000000000e+00
-6.482421484383199584e+01,1.000000000000000000e+00
-5.795133260104576323e+01,1.000000000000000000e+00
-3.293372154673366481e+01,0.000000000000000000e+00
-3.087529472127513941e+01,0.000000000000000000e+00
-5.311672656758701550e+01,1.000000000000000000e+00
-3.257677034899491275e+01,0.000000000000000000e+00
-5.029177415341731461e+01,0.000000000000000000e+00
-3.237600907484723933e+01,1.000000000000000000e+00
-7.339336899037921569e+01,1.000000000000000000e+00
-3.146225194387600510e+01,0.000000000000000000e+00
-3.416116630139121213e+01,0.000000000000000000e+00
-3.482171649266220470e+01,0.000000000000000000e+00
-7.473935644265475275e+01,1.000000000000000000e+00
-3.107408647565958404e+01,0.000000000000000000e+00
-7.032553764395504459e+01,1.000000000000000000e+00
-6.981488949487876994e+01,1.000000000000000000e+00
-6.597903885276123503e+01,1.000000000000000000e+00
-3.122464334162370392e+01,0.000000000000000000e+00
-3.343575185503875957e+01,0.000000000000000000e+00
-2.994681447192483148e+01,0.000000000000000000e+00
-7.127831992976221898e+01,0.000000000000000000e+00
-6.341090606144651076e+01,0.000000000000000000e+00
-3.264138630163097332e+01,1.000000000000000000e+00
-6.463513297098101873e+01,0.000000000000000000e+00
-6.070496626972851573e+01,1.000000000000000000e+00
-6.041693244018274811e+01,1.000000000000000000e+00
-5.683035267898473819e+01,1.000000000000000000e+00
-2.899478743254656976e+01,0.000000000000000000e+00
-6.980850226659507030e+01,1.000000000000000000e+00
-6.924604779804134580e+01,0.000000000000000000e+00
-3.298982673741151928e+01,0.000000000000000000e+00
-6.743373479646650992e+01,1.000000000000000000e+00
-3.205341136692478443e+01,0.000000000000000000e+00
-5.827721471887033289e+01,1.000000000000000000e+00
-3.312061903335532520e+01,1.000000000000000000e+00
-6.178143790105809785e+01,1.000000000000000000e+00
-3.122855946565913854e+01,0.000000000000000000e+00
-6.041776662339632509e+01,1.000000000000000000e+00
-3.092311149836623230e+01,0.000000000000000000e+00
-3.185231244587752997e+01,1.000000000000000000e+00
-3.204164385489269051e+01,0.000000000000000000e+00
-3.241815521670316969e+01,0.000000000000000000e+00
-6.151549638836200273e+01,0.000000000000000000e+00
-3.234204822311473748e+01,0.000000000000000000e+00
-3.284967046415406600e+01,0.000000000000000000e+00
-6.159886680582546603e+01,1.000000000000000000e+00
-3.327671935357844291e+01,0.000000000000000000e+00
-6.768188131102259320e+01,0.000000000000000000e+00
-3.024352343994078396e+01,1.000000000000000000e+00
-3.295249013641908675e+01,0.000000000000000000e+00
-3.111178689866151004e+01,1.000000000000000000e+00
-6.145091994892772647e+01,1.000000000000000000e+00
-5.538881757926136373e+01,1.000000000000000000e+00
-3.402314671253103739e+01,1.000000000000000000e+00
-7.785005850710490449e+01,1.000000000000000000e+00
-5.297675129223642188e+01,1.000000000000000000e+00
-7.580403543850840720e+01,1.000000000000000000e+00
-3.247713508456452303e+01,1.000000000000000000e+00
-3.260131268811250749e+01,0.000000000000000000e+00
-3.231121712738057994e+01,1.000000000000000000e+00
-6.669683664288182001e+01,1.000000000000000000e+00
-6.097882321258603611e+01,0.000000000000000000e+00
-5.176782690934715703e+01,1.000000000000000000e+00
-3.180589154395970652e+01,0.000000000000000000e+00
-3.326020256510439310e+01,1.000000000000000000e+00
-3.270632649177953510e+01,1.000000000000000000e+00
-6.593530808807068411e+01,0.000000000000000000e+00
-5.600744230398957058e+01,1.000000000000000000e+00
-6.617472763677452008e+01,0.000000000000000000e+00
-3.363099650780451810e+01,0.000000000000000000e+00
-6.343720035809119651e+01,1.000000000000000000e+00
-3.444119048618569678e+01,1.000000000000000000e+00
-6.770471712488863147e+01,1.000000000000000000e+00
-6.339932320096640694e+01,1.000000000000000000e+00
-5.457198607643572075e+01,1.000000000000000000e+00
-3.349756861893019533e+01,1.000000000000000000e+00
-6.465120429621650544e+01,1.000000000000000000e+00
-3.868246626285629475e+01,1.000000000000000000e+00
-6.866540033518853647e+01,1.000000000000000000e+00
-3.450304988720171195e+01,0.000000000000000000e+00
-6.611787112816752199e+01,0.000000000000000000e+00
-3.186103698293845454e+01,0.000000000000000000e+00
-6.837143659633728987e+01,1.000000000000000000e+00
-6.345273717307015460e+01,1.000000000000000000e+00
-2.916117231333277715e+01,0.000000000000000000e+00
-5.415353025190799485e+01,0.000000000000000000e+00
-6.356843425523880597e+01,0.000000000000000000e+00
-6.700305612970406344e+01,1.000000000000000000e+00
-3.269938700496296491e+01,0.000000000000000000e+00
-3.296597677889951683e+01,0.000000000000000000e+00
-5.998801839443027717e+01,1.000000000000000000e+00
-5.527608128506330587e+01,0.000000000000000000e+00
-3.267340070992727163e+01,1.000000000000000000e+00
-6.605727866985714059e+01,0.000000000000000000e+00
-3.144287186709383164e+01,0.000000000000000000e+00
-5.132664109089579085e+01,1.000000000000000000e+00
-5.920726709358747542e+01,1.000000000000000000e+00
-5.264608058746422614e+01,1.000000000000000000e+00
-3.067704662695152251e+01,0.000000000000000000e+00
-6.606595237424016887e+01,1.000000000000000000e+00
-5.646435196499864162e+01,1.000000000000000000e+00
-6.451515596521672080e+01,1.000000000000000000e+00
-6.532615069918718120e+01,1.000000000000000000e+00
-5.642652068702265922e+01,1.000000000000000000e+00
-3.185277318249929124e+01,1.000000000000000000e+00
-2.987282658052092543e+01,0.000000000000000000e+00
-6.241202750490562323e+01,1.000000000000000000e+00
-3.192350706758394807e+01,0.000000000000000000e+00
-3.348111602097382189e+01,0.000000000000000000e+00
-7.615119141725311636e+01,0.000000000000000000e+00
-5.808389862690140149e+01,0.000000000000000000e+00
-6.032002961680932884e+01,1.000000000000000000e+00
-7.124418288898442597e+01,1.000000000000000000e+00
-3.071525891408738573e+01,0.000000000000000000e+00
-3.247021996759750095e+01,1.000000000000000000e+00
-2.920669882092407477e+01,0.000000000000000000e+00
-6.537452513173207080e+01,0.000000000000000000e+00
-5.068417392465747184e+01,1.000000000000000000e+00
-3.332955965109451313e+01,1.000000000000000000e+00
-3.316847946208312692e+01,0.000000000000000000e+00
-2.983939913986833758e+01,0.000000000000000000e+00
-6.017681182927309891e+01,0.000000000000000000e+00
-6.146890819499655123e+01,1.000000000000000000e+00
-3.189685706071109195e+01,0.000000000000000000e+00
-6.361999162083220938e+01,1.000000000000000000e+00
-5.906886846956690817e+01,1.000000000000000000e+00
-6.098659654266723606e+01,1.000000000000000000e+00
-7.016607892284162062e+01,0.000000000000000000e+00
-5.380651281468978908e+01,0.000000000000000000e+00
-5.071568286148620075e+01,1.000000000000000000e+00
-3.198345893884366475e+01,0.000000000000000000e+00
-3.511148450812650168e+01,0.000000000000000000e+00
-3.424980951958858810e+01,0.000000000000000000e+00
-3.216144947972054524e+01,0.000000000000000000e+00
-5.955161883235982856e+01,1.000000000000000000e+00
-3.357613472278555378e+01,1.000000000000000000e+00
-3.409266148088154580e+01,1.000000000000000000e+00
-5.273175688450295695e+01,1.000000000000000000e+00
-6.211752546869914937e+01,0.000000000000000000e+00
-6.058837301835583844e+01,1.000000000000000000e+00
-7.408296869629579362e+01,1.000000000000000000e+00
-3.490660406687413797e+01,1.000000000000000000e+00
-6.970917994895246750e+01,0.000000000000000000e+00
-3.098028658144968972e+01,0.000000000000000000e+00
-3.258778456985054817e+01,0.000000000000000000e+00
-6.458912363356837716e+01,0.000000000000000000e+00
-3.128706695168705565e+01,0.000000000000000000e+00
-6.338840525711853502e+01,1.000000000000000000e+00
-3.232337274638251046e+01,1.000000000000000000e+00
-3.317758188824400634e+01,0.000000000000000000e+00
-3.411131068340998951e+01,0.000000000000000000e+00
-6.533713295710660418e+01,1.000000000000000000e+00
-5.753792957706006206e+01,1.000000000000000000e+00
-5.494226328107299651e+01,1.000000000000000000e+00
-5.750755017210391173e+01,1.000000000000000000e+00
-3.555560193285143100e+01,0.000000000000000000e+00
-3.252845862011190547e+01,0.000000000000000000e+00
-5.602338306720954364e+01,1.000000000000000000e+00
-7.066924038088041016e+01,0.000000000000000000e+00
-3.069452414392019080e+01,0.000000000000000000e+00
-5.867411389704203373e+01,1.000000000000000000e+00
-3.283516827442722530e+01,0.000000000000000000e+00
-3.181746453509705930e+01,0.000000000000000000e+00
-3.118175970937701180e+01,0.000000000000000000e+00
-5.801251465290626186e+01,1.000000000000000000e+00
-6.186194801496372264e+01,0.000000000000000000e+00
-6.244271522494150162e+01,1.000000000000000000e+00
-6.196436870371955052e+01,0.000000000000000000e+00
-5.797667201360214051e+01,0.000000000000000000e+00
-5.843620478875166668e+01,1.000000000000000000e+00
-3.245013781729423386e+01,0.000000000000000000e+00
-3.531076556215053586e+01,1.000000000000000000e+00
-3.532556722142138028e+01,1.000000000000000000e+00
-6.348829869269705029e+01,1.000000000000000000e+00
-6.307970440223121500e+01,1.000000000000000000e+00
-3.212356695828272279e+01,1.000000000000000000e+00
-6.210271674241305107e+01,1.000000000000000000e+00
-6.564911433026220777e+01,0.000000000000000000e+00
-5.709365761699233133e+01,1.000000000000000000e+00
-3.307699056447963670e+01,0.000000000000000000e+00
-7.003299216529261173e+01,1.000000000000000000e+00
-3.096993912745991651e+01,0.000000000000000000e+00
-2.856486494394715692e+01,0.000000000000000000e+00
-6.493766997089457504e+01,1.000000000000000000e+00
-3.404888317722399194e+01,0.000000000000000000e+00
-3.341565246928597332e+01,1.000000000000000000e+00
-6.440215167503178861e+01,0.000000000000000000e+00
-7.450839399882747216e+01,1.000000000000000000e+00
-5.170213788773430252e+01,1.000000000000000000e+00
-3.405353054733927820e+01,1.000000000000000000e+00
-3.076224172116980426e+01,1.000000000000000000e+00
-6.796535934651889477e+01,0.000000000000000000e+00
-2.921864923121479407e+01,0.000000000000000000e+00
-7.023482271371983643e+01,1.000000000000000000e+00
-3.069885339921514600e+01,0.000000000000000000e+00
-5.847068216785934425e+01,1.000000000000000000e+00
-5.634492300490133943e+01,1.000000000000000000e+00
-3.370598089815067766e+01,1.000000000000000000e+00
-3.075660106246640879e+01,1.000000000000000000e+00
-3.163554808133190832e+01,0.000000000000000000e+00
-5.680041658053650622e+01,0.000000000000000000e+00
-6.920917459907835223e+01,1.000000000000000000e+00
