key,value
created,2026-08-06_13-05-05
n_samples,16250
target,HQC-G (SHAKE256)
sample_rate_hz,1250000000.0
settings,{'N_TRACES': 60000, 'RAW_POOL': 2000, 'raw_pool_effective': 2000, 'N_POI': 40, 'TEST_FRAC': 0.2, 'CLASS_MODE': '0vFAIL', 'class0': "m'=0 (RS success)", 'class1': 'decode-failure garbage'}
n_traces_collected,3080
n_fixed,1486
n_random,1594
peak_abs_t,26.954384883816047
peak_t_sample,4764
oracle_accuracy,0.7275
n_poi,40
