sample,mean0,mean1,diff_of_means,t_first,t_second
1632,4872.6137,5013.8419,-141.22818,-2.1167291,1.1005105
1633,5118.2773,5170.9109,-52.633662,-0.78925122,-0.3239409
1634,4712.2261,4757.3601,-45.13399,-0.67771371,0.11860016
1635,5108.1131,5186.0075,-77.894473,-1.1706739,0.65512679
1636,5554.1319,5676.4868,-122.35493,-1.8525244,0.16772849
1637,5705.9058,5789.069,-83.163221,-1.2647055,-0.89975352
1638,5466.2719,5591.3676,-125.09576,-1.8965264,-0.99131772
1639,5341.0283,5502.394,-161.36571,-2.4739032,0.78805736
1640,5005.0929,5034.399,-29.306129,-0.44374849,0.071419918
1641,4539.607,4680.9134,-141.30643,-2.1286563,0.24913554
1642,4288.0861,4338.9912,-50.90508,-0.77851645,0.98404708
1643,4068.6083,4092.6274,-24.019008,-0.37438269,0.44293532
1644,3380.1992,3529.5558,-149.35664,-2.3054204,0.6835746
1645,3195.5209,3134.9561,60.564776,0.92969447,-0.31281597
1646,2947.4455,2982.7051,-35.259653,-0.52797659,-0.37975286
1647,2263.5155,2370.3287,-106.81325,-1.5733608,2.6623217
1648,1882.961,1806.936,76.024959,1.1265081,2.1228247
1649,1649.8735,1706.7202,-56.846715,-0.83658915,-0.12318463
1650,1464.6783,1466.941,-2.2626978,-0.03352074,-0.50587418
1651,1466.5734,1444.2961,22.277241,0.33356277,-0.32813032
1652,992.30148,1024.4818,-32.180326,-0.49227865,-0.64224147
1653,1057.0767,1060.1355,-3.0587921,-0.045888661,-0.44402031
1654,731.13324,715.32246,15.810784,0.23518312,-1.1746694
1655,799.87079,809.11418,-9.2433841,-0.13977318,-0.12400205
1656,736.12921,739.8946,-3.7653988,-0.057027508,1.0209461
1657,738.71332,665.69636,73.016963,1.0917231,2.7047048
1658,463.41857,548.13551,-84.716935,-1.2686036,1.36298
1659,515.10094,443.74404,71.356902,1.0698256,0.039870382
1660,503.55855,449.04391,54.514632,0.81620372,0.47834817
1661,672.21534,739.09159,-66.87625,-0.99272501,0.8430953
1662,800.55989,728.49184,72.068048,1.0978626,0.88198203
1663,855.3432,826.94103,28.402174,0.43521762,-0.33524237
1664,976.27995,1030.9059,-54.625951,-0.83732106,-0.42678758
1665,1233.6581,1146.0577,87.600426,1.3404985,-1.0105331
1666,1297.3997,1360.4617,-63.062001,-0.97895745,-1.075572
1667,1513.432,1498.0979,15.334165,0.23408609,0.13933488
1668,1719.6447,1755.0615,-35.416797,-0.5421344,1.3165537
1669,1875.0363,1948.4266,-73.390261,-1.1270018,0.32102138
1670,2038.3526,1960.4718,77.880855,1.1947894,-0.27088361
1671,2191.5047,2263.5282,-72.02352,-1.0929216,-0.11690884
1672,2340.0054,2323.7541,16.251306,0.24559018,1.3366397
1673,2358.2665,2376.9134,-18.646938,-0.27773375,2.4911979
1674,2471.1063,2486.6048,-15.498442,-0.22857813,2.1111816
1675,2502.9771,2524.1857,-21.208577,-0.31691189,0.47278827
