sample,mean0,mean1,diff_of_means,t_first,t_second
0,415.06796,280,135.06796,1.0548556,2.2676864
1,972.8,1042,-69.2,-0.57894188,1.3834145
2,2207.565,2195.5,12.065049,0.10170963,-1.1273896
3,3333.965,3156.5,177.46505,0.87794029,-1.4326806
4,11615.441,11724.5,-109.05922,-0.57197065,0.26411149
5,-10789.282,-10436.5,-352.78155,-0.73448176,-1.195089
6,-7562.6874,-7841,278.31262,0.65323581,-1.8418371
7,5744.8388,5609,135.83883,1.0189617,0.47061066
8,3199.2544,3420,-220.74563,-1.2044433,1.7394807
9,-9589.3126,-9356,-233.31262,-0.99343215,-1.6044578
10,-8233.2583,-8448,214.74175,1.1527756,0.27835711
11,-667.09126,-601,-66.091262,-0.3347288,-1.8820151
12,8139.8058,7978.5,161.30583,1.1168628,-0.25825942
13,822.18252,1056,-233.81748,-0.75228459,-0.26733744
14,-6613.2505,-6555.5,-57.750485,-0.28964905,0.67344564
15,9780.6913,9429,351.69126,1.1830747,-1.4407331
16,4922.1592,5230.5,-308.34078,-0.88285922,-2.3919455
17,-3656.0777,-3672.5,16.42233,0.12049909,0.84940581
18,-3057.0874,-3050.5,-6.5873786,-0.04285846,0.11376861
19,-4802.8583,-4843,40.141748,0.2364789,1.9650584
20,4687.0369,4552.5,134.53689,0.77864942,-0.6956219
21,2001.7709,2059,-57.229126,-0.2833688,-1.7639139
22,-4067.666,-4006,-61.666019,-0.52385653,-1.1855049
23,-3531.8058,-3427,-104.80583,-0.9146791,-1.4058557
24,-1991.332,-2111,119.66796,0.96923493,1.3501495
25,-2334.3223,-2201,-133.32233,-1.0272606,1.990529
26,-1804.9243,-1833.5,28.575728,0.17024354,-0.21474982
27,4927.6272,4810.5,117.12718,0.90038981,-0.47945663
28,673.5534,842,-168.4466,-1.0445534,1.0182185
29,-2431.7515,-2318,-113.75146,-0.97880312,0.49766968
30,178.95146,-51,229.95146,1.7612212,1.6340372
31,2971.0913,3047,-75.908738,-0.59844981,0.86730815
32,3894.6796,3878.5,16.179612,0.13527017,0.50083161
33,-46.726214,-36,-10.726214,-0.074470853,-0.65758246
34,-3187.3243,-3082,-105.32427,-0.90126002,-2.2117177
35,-3316.0699,-3376.5,60.430097,0.52326453,-1.018453
36,-1626.967,-1706,79.03301,0.69236528,-0.3380742
37,-1330.2058,-1303.5,-26.705825,-0.2191952,1.0625177
38,1471.3786,1531.5,-60.121359,-0.49996594,0.56100538
39,-858.4699,-848.5,-9.9699029,-0.068620517,0.13896053
40,-3813.1573,-3692.5,-120.65728,-1.0691846,0.78234062
41,-307.69709,-333,25.302913,0.19782695,1.0433961
42,-274.88932,-308.5,33.61068,0.28405664,1.0123314
43,-693.93398,-632.5,-61.433981,-0.53620765,1.1498885
44,200.8233,204.5,-3.676699,-0.031738723,0.63290385
45,521.44466,448.5,72.94466,0.63256913,0.1103812
46,-21.374757,-27,5.6252427,0.049659234,-1.6205184
47,494.60194,518.5,-23.898058,-0.20151972,-2.4061427
48,2493.8874,2449.5,44.387379,0.3950155,-2.3000701
49,1631.4408,1638.5,-7.0592233,-0.05742972,-0.95861209
50,-210.26796,-119.5,-90.767961,-0.74514327,0.49081249
51,-1127.8913,-1195,67.108738,0.56648498,0.16618031
52,-1890.4233,-1820,-70.423301,-0.59843307,-1.3960343
53,-1910.8039,-1890.5,-20.303883,-0.17333404,-0.46562862
54,-1333.1883,-1327,-6.1883495,-0.05230171,0.063514344
55,-160.06214,-161.5,1.4378641,0.012655021,0.19413873
56,-547.2932,-438,-109.2932,-0.968783,1.6961048
57,-1423.6583,-1466,42.341748,0.36525056,-0.11665876
58,-372.31845,-276.5,-95.818447,-0.77410145,-0.090455238
59,390.71068,438,-47.28932,-0.40947902,-0.42066963
60,595.51068,446,149.51068,1.2588015,-1.4579936
61,-1170.1437,-1126,-44.143689,-0.37508998,-1.5563191
62,1189.5301,1227,-37.469903,-0.31881687,0.63470917
63,-197.34369,-330,132.65631,1.1140303,0.90869493
64,272.90097,354.5,-81.599029,-0.70486889,0.2290271
65,-93.949515,-58,-35.949515,-0.29924161,-0.71414635
66,2364.6447,2235.5,129.14466,1.1035476,0.76822949
67,2557.5146,2695.5,-137.98544,-1.1401435,1.1281752
68,611.41748,675.5,-64.082524,-0.51502209,-0.5692874
69,-1262.1049,-1252.5,-9.6048544,-0.080772804,0.29562491
70,-1675.6816,-1624.5,-51.181553,-0.43813959,0.41481181
71,-949.43689,-921,-28.436893,-0.25005962,-1.2326195
72,57.662136,-37,94.662136,0.81680712,-2.2351301
73,-212.25631,-28.5,-183.75631,-1.6224341,-1.0237273
74,-342.99029,-393,50.009709,0.44193483,-0.078106328
75,-139.18447,-112,-27.184466,-0.23115125,-0.012487485
76,347.96117,312.5,35.461165,0.29465514,-0.11781302
