sample,mean0,mean1,diff_of_means,t_first,t_second
0,439.18895,504.31596,-65.127001,-1.1819503,1.4680564
1,1264.7511,1201.9463,62.804797,1.2418638,1.6049241
2,2077.9929,2103.7093,-25.716421,-0.49079039,0.7981178
3,3193.5874,3304.2401,-110.65275,-1.2490685,-0.13911509
4,11399.523,11356.209,43.314941,0.50899441,1.1711722
5,-10119.221,-10442.111,322.89007,1.4931677,0.42037206
6,-7887.5266,-7612.2591,-275.26754,-1.432204,-0.84757136
7,5640.2809,5737.2512,-96.970317,-1.662837,0.87395574
8,3248.7258,3181.6998,67.025996,0.8075553,0.43278723
9,-9017.2592,-9198.7109,181.45173,1.7106426,0.60532337
10,-8491.626,-8360.0379,-131.58812,-1.5431775,0.10207301
11,-487.35937,-403.91785,-83.441517,-0.93298529,-1.2979486
12,7708.0742,7782.0158,-73.941636,-1.1505088,1.1674224
13,1201.1298,909.04265,292.08713,2.1486491,0.91599652
14,-6230.3432,-6051.4882,-178.85504,-2.0368391,-0.88440501
15,9282.3479,9386.06,-103.7121,-0.79535122,1.0757722
16,5581.7089,5376.2022,205.50666,1.3625561,1.019078
17,-3601.4706,-3536.4803,-64.990359,-1.1463246,1.6666981
18,-3272.3566,-3426.376,154.01938,2.2525552,0.58258959
19,-5255.4225,-5057.2133,-198.20922,-2.5057344,-0.51429086
20,5022.7503,5129.2006,-106.45034,-1.3392631,0.53068922
21,2156.5602,1947.6019,208.95826,2.1670566,0.43593134
22,-4445.5132,-4337.3397,-108.17356,-2.0256233,-0.93003566
23,-2832.2588,-2867.0585,34.799675,0.65609692,-0.32472868
24,-2125.6584,-2098.5529,-27.10546,-0.50411854,1.6876993
25,-2607.8675,-2622.1801,14.312639,0.24907184,2.1884233
26,-1826.9412,-1781.3839,-45.557337,-0.59810727,1.3039944
27,4637.286,4716.1833,-78.897258,-1.3891834,1.5112777
28,1157.3018,1003.7788,153.52294,2.1634177,1.4786527
29,-2054.7661,-2024.7457,-30.020419,-0.57326428,1.6738638
30,161.17396,151.96209,9.2118792,0.15592736,1.9053845
31,3354.8623,3423.9494,-69.08712,-1.2267603,1.2303214
32,3849.3917,3804.9163,44.475444,0.79955649,-1.2640292
33,-320.42919,-373.88942,53.460224,0.83263986,0.480896
34,-3146.7298,-3110.1169,-36.612879,-0.68636906,-2.0994136
35,-3150.9712,-3137.2133,-13.757933,-0.25724027,-1.1054549
36,-1825.0225,-1827.1848,2.1623489,0.041067756,-1.425377
37,-1545.5937,-1474.9321,-70.661619,-1.3403575,0.71645283
38,1162.755,1124.7014,38.053608,0.68174665,0.78442368
39,-459.99211,-385.11216,-74.879946,-1.1221241,0.62529194
40,-3169.3507,-3288.9731,119.62245,2.2548927,-0.023334966
41,-267.41144,-145.99684,-121.4146,-2.1525212,0.95259445
42,-233.98501,-268.84044,34.855432,0.65197955,1.4323628
43,-760.72899,-813.90205,53.17306,1.0271397,0.68056258
44,-151.27732,-53.080569,-98.196749,-1.933163,1.3433336
45,585.01302,493.69984,91.313176,1.7746251,0.54406028
46,173.99921,191.69668,-17.697471,-0.3380377,0.23347801
47,218.23116,260.75197,-42.520811,-0.7933276,-2.1368041
48,2543.4383,2534.3191,9.119149,0.17422228,-1.250476
