proj,label
-89.911858,1
-88.599915,1
-32.506767,0
-102.93176,1
-26.48111,0
-31.342186,0
-25.129055,0
-92.023819,0
-69.212662,1
-112.03313,1
-88.454803,0
-94.762711,1
-30.252056,0
-25.173771,0
-91.468056,0
-26.565186,0
-24.330708,1
-109.11714,1
-72.072945,1
-99.593376,1
-88.97319,1
-91.501762,1
-28.113148,0
-29.928593,0
-26.320387,0
-98.825577,1
-29.857779,0
-31.645153,1
-26.324429,0
-61.637039,1
-25.45528,1
-106.04351,1
-26.331301,0
-85.290726,0
-100.46546,1
-31.520218,0
-94.994514,1
-111.32075,0
-78.85762,0
-97.825447,0
-33.755501,1
-60.989769,1
-26.511711,0
-77.788834,1
-97.98217,1
-24.002386,0
-30.408283,0
-98.433067,1
-34.59655,0
-99.222733,1
-21.936234,1
-23.939924,0
-33.211391,0
-97.284653,1
-59.855,1
-91.53981,1
-77.380356,1
-28.661358,0
-28.37941,1
-91.910538,1
-80.104317,1
-33.918789,1
-68.420891,1
-99.323853,0
-28.399426,0
-26.536358,1
-96.143074,0
-77.447357,1
-97.414078,1
-99.137299,0
-88.617844,1
-100.77202,1
-84.936516,1
-83.041458,1
-99.014854,1
-95.725845,1
-98.951317,1
-93.953384,1
-34.212936,0
-24.876036,0
-31.074543,0
-110.87469,0
-30.035069,0
-98.459045,0
-88.414635,1
-33.121666,0
-28.601849,0
-32.868565,0
-98.592644,0
-31.246534,0
-29.822296,0
-102.15533,0
-86.496101,1
-28.190441,0
-85.174057,1
-61.509628,1
-104.94658,0
-34.016167,1
-29.427109,0
-99.558556,1
-94.698265,1
-84.795448,1
-95.735313,1
-93.929901,1
-25.543745,0
-26.898804,0
-28.457197,0
-98.090012,1
-22.254013,0
-72.226158,1
-107.51388,0
-77.006653,1
-31.597082,0
-26.197752,0
-79.566414,0
-96.372192,1
-31.971092,1
-28.355492,0
-89.028404,1
-86.209366,1
-69.000366,0
-101.30309,0
-79.785721,1
-21.351128,1
-32.906025,0
-30.777454,1
-93.489456,1
-72.269272,1
-86.93988,1
-64.319572,1
-32.840221,1
-89.403175,0
-25.15974,0
-28.577316,0
-22.542509,0
-32.007355,0
-23.292181,0
-33.80661,0
-30.020586,0
-76.045593,1
-90.773575,1
-110.437,1
-84.899971,0
-81.034637,1
-26.556324,0
-27.906448,0
-77.493866,1
-29.808701,0
-31.080048,1
-108.17133,1
-106.12987,0
-100.04617,1
-97.079506,0
-95.289673,1
-93.758904,0
-31.466072,0
-101.8616,1
-92.264229,1
-93.605927,0
-30.141167,0
-28.939371,1
-32.856064,0
-91.809738,1
-28.195415,0
-93.426125,0
-72.500008,1
-83.251938,1
-32.28656,0
-27.330845,0
-89.458107,1
-101.26096,1
-98.489265,0
-25.00388,1
-27.302559,0
-78.357391,1
-30.016384,0
-102.78353,0
-79.974632,1
-33.202988,0
-62.460197,1
-110.18926,1
-26.602669,0
-30.045956,0
-21.385555,0
-22.461491,0
-32.244537,0
-82.075783,1
-24.555767,0
-26.551958,0
-82.269432,0
-91.868347,1
-29.968889,1
-27.729509,1
-27.385281,1
-30.039227,0
-110.31759,1
-25.478447,0
-26.067266,1
-106.07343,1
-72.891701,1
-100.08065,0
-99.609932,1
-79.461067,1
-31.389786,0
-21.973345,0
-23.67606,0
-26.477592,0
-84.031837,1
-96.950691,1
-78.550179,1
-82.859001,0
-92.410164,0
-89.582375,1
-97.496498,1
-36.244656,1
-27.036736,0
-107.26164,0
-28.070684,0
-28.242659,0
-30.954784,0
-25.712616,1
-34.859283,0
-23.941391,0
-81.848907,1
-35.616158,0
-29.72472,0
-92.639908,0
-24.885044,0
-32.316116,0
-99.475006,1
-92.708633,1
-89.081299,1
-112.85811,1
-100.27359,1
-96.985756,1
-26.396137,0
-30.046509,0
-89.826347,0
-24.13158,0
-90.797806,0
-33.951263,0
-101.3763,1
-106.67955,1
-105.28904,1
-27.865971,1
-25.538895,1
-98.739807,0
-102.21245,0
-85.830688,1
-27.531525,0
-96.444443,1
-83.436813,1
-119.78423,1
-103.53983,1
-83.875015,0
-33.599388,1
-76.484917,1
-83.835144,0
-93.519142,1
-88.177986,0
-32.969826,0
-25.639641,0
-72.91124,1
-105.80422,0
-90.824219,0
-102.42365,0
-80.242157,0
-33.403057,1
-95.051849,1
-31.095692,0
-97.627556,0
-106.25595,1
-27.970497,0
-92.154289,1
-35.295361,0
-86.788399,1
-77.097946,0
-98.079063,1
-92.624725,1
-21.932169,0
-87.778236,1
-25.348488,1
-82.776535,0
-28.699539,0
-73.43293,1
-34.088699,0
-89.030922,0
-31.121738,0
-31.348778,0
-27.47868,0
-109.26724,1
-88.825005,1
-35.414879,0
-91.550941,1
-87.352585,1
-31.829758,0
-72.571411,1
-93.480156,0
-106.87308,1
-84.164108,1
-101.03371,1
-110.25529,1
-30.447491,0
-29.929855,1
-28.900162,0
-27.766689,0
-29.537113,0
-79.164627,1
-29.067026,1
-79.435257,0
-92.459496,0
-84.78196,1
-84.923378,0
-99.751602,1
-25.536674,1
-101.14326,1
-88.055664,1
-101.35889,0
-22.038525,0
-87.621468,0
-103.48985,1
-26.936344,0
-84.177338,0
-111.99526,0
-82.818771,0
-92.4533,0
-22.337641,0
-72.150711,0
-75.708626,1
-115.18464,1
-91.115265,1
-34.343849,0
-96.784882,1
-28.267742,0
-93.602798,1
-26.427006,0
-75.012207,1
-28.485338,0
-28.673002,0
-31.865845,0
-31.177074,0
