sample,mean0,mean1,diff_of_means,t_first,t_second
0,357.56237,404.99035,-47.427982,-0.51082653,1.4593314
1,1200.6871,1275.8842,-75.197128,-0.87366395,0.67085175
2,2118.9366,2029.3419,89.594697,1.0426712,-0.90143896
3,2924.3681,3041.269,-116.90093,-0.83001754,-0.66114653
4,11651.141,11557.042,94.099304,0.68621462,-0.7484844
5,-10095.509,-10004.03,-91.479192,-0.2522441,-0.17891425
6,-8306.9121,-8314.6495,7.7374522,0.024537372,-1.0592563
7,5791.1493,5704.4373,86.711985,0.86695167,0.57436661
8,3211.7791,3356.2615,-144.48238,-1.0699056,2.7716951
9,-9112.3436,-9191.5798,79.236292,0.45036491,0.12131804
10,-8397.4806,-8387.91,-9.5706048,-0.068711937,-0.14879303
11,-509.90593,-492.24437,-17.661557,-0.11895826,-0.49478236
12,7868.728,7863.5627,5.1653154,0.048432046,0.12099684
13,1136.5562,1092.8703,43.685926,0.19400438,-0.08626972
14,-6926.9202,-6917.2133,-9.7069549,-0.069225196,-1.3081648
15,9379.8609,9276.6388,103.22214,0.44402899,0.19525898
16,5645.8732,5816.3859,-170.51264,-0.63792698,-0.26140489
17,-3820.8916,-3878.4137,57.522104,0.56673873,-1.0722891
18,-2308.9734,-2336.1029,27.129479,0.24462046,-0.0012467145
19,-5039.6401,-5018.7524,-20.88767,-0.18121786,-0.12408061
20,3708.5971,3789.5134,-80.916261,-0.61225101,0.72910095
21,2217.3579,2125.925,91.4329,0.64544433,0.94866201
22,-3310.2004,-3262.9711,-47.229348,-0.53472418,0.72980708
23,-3210.2086,-3147.7299,-62.478685,-0.71999073,-0.95822314
24,-2938.5031,-3102.4566,163.95352,1.7650988,-0.77502836
25,-2662.6094,-2536.1286,-126.48079,-1.3444509,0.88463234
26,-1639.6564,-1641.3633,1.7069023,0.013115981,-1.2888238
27,5129.6851,5042.8982,86.786894,0.91893653,-1.2723704
28,931.07566,1087.3826,-156.30697,-1.259798,-0.28968848
29,-2183.3292,-2336.926,153.5968,1.760454,-1.3151635
30,86.642127,175.33119,-88.689063,-0.94412752,-0.8396525
31,2739.3047,2805.0247,-65.719948,-0.76374201,-2.1308464
32,3571.9591,3489.3376,82.62148,0.96036785,-0.43703366
33,306.51943,349.29046,-42.771033,-0.42515931,2.2808161
34,-2750.2986,-2702.1308,-48.167808,-0.53660505,-1.2973125
35,-3333.7587,-3386.7181,52.959422,0.60763211,-0.76951165
36,-1941.726,-1967.0568,25.330835,0.28670599,-1.6220395
37,-1657.1943,-1603.4984,-53.695882,-0.59758777,-0.72377282
38,1485.4806,1393.5949,91.885717,0.95672397,-1.0387841
39,-459.3865,-423.64845,-35.738057,-0.30614992,-0.76888974
40,-3543.4274,-3626.2551,82.827688,0.92488327,0.43663488
41,-608.85072,-465.08039,-143.77033,-1.5421651,0.6931743
42,-579.53374,-720.25723,140.72349,1.5741826,-0.82576925
43,-853.59509,-817.11468,-36.480408,-0.41481104,-1.7695562
44,396.30266,434.34941,-38.046752,-0.44013201,-0.28099844
45,824.53988,844.55305,-20.013177,-0.23350711,0.80460384
46,228.51534,217.3119,11.20344,0.12781957,0.76772357
47,414.36401,403.61844,10.745573,0.1205015,-0.17340358
48,2319.9673,2370.9496,-50.982345,-0.60027991,-1.8759036
49,1442.5521,1376.5831,65.969082,0.732358,-0.73806245
50,69.104294,113.32047,-44.216177,-0.50221741,0.1043424
51,-860.92434,-836.59593,-24.328408,-0.27233636,0.48441983
