poi_sample_index
7013
7132
7135
7136
7137
7138
7139
7140
7507
7509
7510
7512
7515
8631
10130
10131
10133
10135
10136
10137
10138
10139
10140
10141
10142
10380
10381
10382
10383
10384
10385
10386
10387
10388
10389
10390
10391
10392
10394
10395
