proj,label
18.527843,0
14.296677,0
15.242062,0
-6.972744,1
-4.8083191,1
-11.13662,1
16.205833,0
-12.241127,1
-14.468281,1
-12.208324,1
8.5571404,0
17.138065,0
13.023178,0
9.9693336,0
11.123558,0
-11.106728,1
18.035397,0
-11.72847,1
-12.355228,1
11.234474,0
11.48679,0
4.9924316,0
-14.157261,1
9.9081573,0
-11.366798,1
12.24638,0
-9.3188171,1
14.276348,0
-6.9269028,1
18.494823,0
7.8602791,0
16.736813,0
-9.0717659,1
-5.6895561,1
13.079304,0
13.194321,0
12.621983,0
-14.53038,1
6.5196648,0
15.015247,0
8.7181129,0
11.723217,0
14.395123,0
10.099453,0
-12.254612,1
15.760796,0
9.7715836,0
13.053387,0
-18.049465,1
15.75243,0
-1.4060478,1
17.14579,0
-7.6529922,1
-11.502361,1
-9.1583595,1
-10.027889,1
18.274372,0
-13.841625,1
23.624657,0
-5.5580292,1
15.749802,0
-19.145916,1
11.082409,0
-14.967201,1
-4.4416313,1
17.370899,0
-11.721123,1
14.514889,0
-8.6617546,1
-5.8225861,1
19.980145,0
-6.0179176,1
-8.740139,1
15.164589,0
-13.153675,1
16.906788,0
16.361435,0
-4.20718,1
-10.168549,1
16.778664,0
-10.475277,1
20.853157,0
-9.1202126,1
10.350529,0
13.020138,0
-14.931984,1
-4.6582375,1
-15.443966,1
-6.68293,1
-15.296249,1
-10.643925,1
16.952271,0
9.9608612,0
-9.9859772,1
-9.7815094,1
15.476059,0
-12.83651,1
-2.9188614,1
-4.8414001,1
19.222023,0
-11.911373,1
-9.3593063,1
-13.615799,1
-9.090229,1
18.300404,0
-10.138039,1
-7.350605,1
14.379135,0
16.004986,0
-7.0256004,1
-6.547142,1
10.061737,0
-16.353374,1
15.395397,0
17.024071,0
-9.2610397,1
-12.973324,1
15.996651,0
-10.978958,1
13.880173,0
21.138725,0
-18.126904,1
-8.3146744,1
-1.5015373,1
-11.335629,1
-7.2862511,1
17.07357,0
-9.319458,1
13.119431,0
11.061203,0
-8.5560608,1
12.798927,0
15.081783,0
-8.1900978,1
18.959106,0
-6.2254105,1
19.803596,0
13.567722,0
-9.70504,1
-10.062073,1
6.979496,0
15.368858,0
-8.1126709,1
-9.6259613,1
-9.3889046,1
10.149311,0
9.1827011,0
-9.2817268,1
-5.9033394,1
-10.043976,1
9.3524933,0
12.241226,0
-4.8927574,1
8.4208298,0
-13.912571,1
14.027992,0
-8.6826973,1
-7.1618767,1
-5.7132301,1
13.045914,0
10.256248,0
10.909428,0
-6.585331,1
-10.557163,1
16.082245,0
-10.66259,1
-4.4163132,1
-12.482891,1
11.717945,0
14.65395,0
12.796577,0
20.020512,0
-9.288372,1
-5.0245514,1
-15.901276,1
11.405521,0
14.834942,0
10.042774,0
9.9328918,0
-4.3667679,1
-9.9843292,1
-10.7075,1
